round,seed,population_seed,strategy,count,percentage
1,990,721,coop,29419,0.38
1,990,721,defect,19366,0.25
1,990,721,exploitation,29215,0.37
2,990,721,coop,29412,0.38
2,990,721,defect,19340,0.25
2,990,721,exploitation,29248,0.37
3,990,721,coop,31571,0.4
3,990,721,defect,17642,0.23
3,990,721,exploitation,28787,0.37
4,990,721,coop,32100,0.41
4,990,721,defect,17035,0.22
4,990,721,exploitation,28865,0.37
5,990,721,coop,32470,0.42
5,990,721,defect,16592,0.21
5,990,721,exploitation,28938,0.37
6,990,721,coop,32460,0.42
6,990,721,defect,16721,0.21
6,990,721,exploitation,28819,0.37
7,990,721,coop,33178,0.43
7,990,721,defect,15911,0.2
7,990,721,exploitation,28911,0.37
8,990,721,coop,32948,0.42
8,990,721,defect,16034,0.21
8,990,721,exploitation,29018,0.37
9,990,721,coop,31678,0.41
9,990,721,defect,16746,0.21
9,990,721,exploitation,29576,0.38
10,990,721,coop,33791,0.43
10,990,721,defect,15199,0.19
10,990,721,exploitation,29010,0.37
11,990,721,coop,32039,0.41
11,990,721,defect,16294,0.21
11,990,721,exploitation,29667,0.38
12,990,721,coop,29841,0.38
12,990,721,defect,18338,0.24
12,990,721,exploitation,29821,0.38
13,990,721,coop,31821,0.41
13,990,721,defect,16981,0.22
13,990,721,exploitation,29198,0.37
14,990,721,coop,30994,0.4
14,990,721,defect,17431,0.22
14,990,721,exploitation,29575,0.38
15,990,721,coop,29362,0.38
15,990,721,defect,19006,0.24
15,990,721,exploitation,29632,0.38
16,990,721,coop,27066,0.35
16,990,721,defect,21008,0.27
16,990,721,exploitation,29926,0.38
17,990,721,coop,25580,0.33
17,990,721,defect,22225,0.28
17,990,721,exploitation,30195,0.39
18,990,721,coop,24788,0.32
18,990,721,defect,23567,0.3
18,990,721,exploitation,29645,0.38
19,990,721,coop,26824,0.34
19,990,721,defect,21183,0.27
19,990,721,exploitation,29993,0.38
20,990,721,coop,26661,0.34
20,990,721,defect,21753,0.28
20,990,721,exploitation,29586,0.38
21,990,721,coop,25197,0.32
21,990,721,defect,22674,0.29
21,990,721,exploitation,30129,0.39
22,990,721,coop,24679,0.32
22,990,721,defect,23359,0.3
22,990,721,exploitation,29962,0.38
23,990,721,coop,23039,0.3
23,990,721,defect,24701,0.32
23,990,721,exploitation,30260,0.39
24,990,721,coop,22777,0.29
24,990,721,defect,25173,0.32
24,990,721,exploitation,30050,0.39
25,990,721,coop,20851,0.27
25,990,721,defect,27408,0.35
25,990,721,exploitation,29741,0.38
26,990,721,coop,19407,0.25
26,990,721,defect,28693,0.37
26,990,721,exploitation,29900,0.38
