round,seed,defect,exploit_,exploit,coop
1,179,19410,12102,17108,29380
2,179,18414,11818,16925,30843
3,179,16504,12328,16240,32928
4,179,14472,11637,16297,35594
5,179,14117,11641,16280,35962
6,179,14483,11971,16405,35141
7,179,15557,12064,15951,34428
8,179,14606,11626,16218,35550
9,179,15702,12203,16233,33862
10,179,14926,11806,16350,34918
11,179,16064,12740,16181,33015
12,179,17539,12666,17030,30765
13,179,15602,13582,15621,33195
14,179,15221,13660,15512,33607
15,179,15266,13777,15676,33281
16,179,15684,13567,15465,33284
17,179,17423,14720,14605,31252
18,179,17347,14865,14795,30993
19,179,18269,14523,14950,30258
20,179,18448,14195,14859,30498
21,179,20088,14528,15157,28227
22,179,19080,14137,14855,29928
23,179,18388,14632,14944,30036
24,179,18822,14485,14769,29924
25,179,19845,14477,15286,28392
26,179,19806,14367,15302,28525
27,179,18599,13975,15324,30102
28,179,19262,13899,15849,28990
29,179,21078,14562,15692,26668
30,179,21273,14382,15712,26633
31,179,20222,14494,14975,28309
32,179,22263,13571,16133,26033
33,179,22556,13547,16094,25803
34,179,22072,13712,15872,26344
35,179,19777,14702,14928,28593
36,179,19769,14926,15019,28286
37,179,20153,14637,14797,28413
38,179,20958,14990,14379,27673
39,179,20725,15097,14500,27678
40,179,21799,14526,14861,26814
41,179,20679,14154,15346,27821
42,179,20846,14160,15153,27841
43,179,21492,14350,15120,27038
44,179,21894,14417,14857,26832
45,179,21932,14249,15053,26766
46,179,20928,14763,14440,27869
47,179,21058,14893,14524,27525
48,179,20057,15086,14143,28714
49,179,18596,14886,14724,29794
50,179,17439,14250,14538,31773
51,179,19050,14383,14711,29856
52,179,19814,14513,14940,28733
53,179,19955,14737,15009,28299
54,179,20753,15087,14976,27184
55,179,19530,15116,14493,28861
56,179,17765,15453,13686,31096
57,179,18634,15838,14093,29435
58,179,17497,15285,13996,31222
59,179,16908,15558,14027,31507
60,179,17843,16416,13747,29994
61,179,17388,16184,13647,30781
62,179,19214,17317,12906,28563
63,179,19294,17259,13081,28366
64,179,19807,17031,13254,27908
65,179,19621,17106,13298,27975
66,179,17929,16995,12856,30220
67,179,18550,17199,12414,29837
68,179,16751,16403,12984,31862
69,179,16551,16516,13091,31842
70,179,15045,16216,12595,34144
71,179,15578,15826,12739,33857
72,179,15658,15869,12968,33505
73,179,15327,15796,13039,33838
74,179,14891,15848,13157,34104
75,179,15180,15866,13208,33746
76,179,16900,15456,14183,31461
