round,seed,defect,coop,exploit,exploit_
1,780,19588,29715,16700,11997
2,780,20394,28115,17730,11761
3,780,21945,26198,17294,12563
4,780,21920,26412,17334,12334
5,780,23131,24914,17193,12762
6,780,24423,23300,17253,13024
7,780,23450,24316,17303,12931
8,780,22121,25929,17257,12693
9,780,22341,25900,17201,12558
10,780,22752,25679,17263,12306
11,780,25102,23461,17231,12206
12,780,24765,23744,17200,12291
13,780,24028,24308,17217,12447
14,780,24943,23038,17525,12494
15,780,25902,22033,17978,12087
16,780,26676,20711,17949,12664
17,780,28683,18899,16926,13492
18,780,28940,18782,16812,13466
19,780,30094,17556,17059,13291
20,780,31402,16246,16201,14151
21,780,31528,16266,16271,13935
22,780,31304,16316,16134,14246
23,780,30097,17656,16694,13553
24,780,30936,17338,16014,13712
25,780,33209,15616,15140,14035
26,780,34048,14478,15002,14472
27,780,36391,12971,14696,13942
28,780,35153,14205,14689,13953
29,780,35850,13441,14687,14022
30,780,35877,13311,14605,14207
31,780,34357,14651,14709,14283
32,780,36828,12832,13407,14933
33,780,37032,12849,13229,14890
34,780,36727,13093,13174,15006
35,780,36658,12884,13414,15044
36,780,36534,13052,13396,15018
37,780,36663,12985,13327,15025
38,780,36929,12865,13331,14875
39,780,35322,14020,13702,14956
40,780,33939,15417,13484,15160
41,780,35527,14147,13777,14549
42,780,36814,13507,13609,14070
43,780,35483,14055,13301,15161
44,780,35194,14099,13250,15457
45,780,32949,15715,14175,15161
46,780,30674,17284,15458,14584
47,780,29323,18798,16033,13846
48,780,28794,19615,15624,13967
49,780,30641,18197,14738,14424
50,780,29362,19313,15206,14119
51,780,27535,20842,15211,14412
52,780,28294,20578,15160,13968
53,780,26795,21854,15790,13561
54,780,27185,21866,15516,13433
55,780,27860,21169,15590,13381
56,780,30355,19341,15504,12800
57,780,31417,18076,15903,12604
58,780,33286,16615,15161,12938
59,780,33800,16301,15078,12821
60,780,32649,17227,14963,13161
61,780,32040,17629,14765,13566
62,780,33383,16580,14700,13337
63,780,33352,16641,14736,13271
64,780,33471,16133,14842,13554
65,780,33525,16208,14735,13532
66,780,32230,17171,15218,13381
67,780,30034,19210,15067,13689
68,780,28413,20600,14867,14120
69,780,26837,22143,15060,13960
70,780,28135,21182,14287,14396
71,780,27862,21673,14322,14143
72,780,25273,23709,14307,14711
73,780,26532,22611,13899,14958
74,780,25475,24005,13903,14617
75,780,25707,23341,13939,15013
76,780,26247,23437,13583,14733
77,780,25641,23470,13810,15079
78,780,25824,23302,13840,15034
79,780,27494,21850,13153,15503
80,780,26514,22809,13395,15282
81,780,24239,24676,14420,14665
82,780,24700,24467,14375,14458
83,780,25135,23781,14220,14864
84,780,25756,23558,14099,14587
85,780,25127,23926,14282,14665
86,780,27254,22093,13410,15243
87,780,27688,21715,13356,15241
88,780,27116,21837,13576,15471
89,780,27385,21933,13347,15335
90,780,26744,22381,13326,15549
91,780,27581,21931,13104,15384
92,780,28124,21149,13228,15499
93,780,28188,21347,13013,15452
94,780,27990,21330,13119,15561
95,780,28062,21103,13220,15615
96,780,30521,19536,13093,14850
97,780,30952,18988,12966,15094
98,780,32744,17477,12651,15128
99,780,33200,17055,12767,14978
100,780,31998,17805,13544,14653
101,780,29428,20094,13962,14516
102,780,29246,20234,13921,14599
103,780,27866,21602,13576,14956
104,780,25672,23560,13706,15062
105,780,25840,23166,13869,15125
106,780,26916,22504,13362,15218
107,780,26448,22906,13380,15266
108,780,28681,20623,13459,15237
109,780,27345,21794,13759,15102
110,780,28752,20562,13490,15196
111,780,30256,19312,13308,15124
112,780,28903,20502,13463,15132
113,780,29010,20111,13644,15235
114,780,28603,20576,13599,15222
115,780,30192,19171,13642,14995
116,780,29670,19654,13656,15020
117,780,31214,18232,14116,14438
118,780,31026,18226,14270,14478
119,780,30869,18687,13912,14532
120,780,29707,19711,14278,14304
121,780,28005,21114,14459,14422
122,780,27944,20846,14536,14674
123,780,28073,20953,14421,14553
124,780,25854,23060,14974,14112
125,780,26460,22550,14896,14094
126,780,25904,23006,15096,13994
127,780,26952,22088,15714,13246
128,780,26973,22031,15682,13314
129,780,28079,21025,15312,13584
130,780,29587,19363,15968,13082
131,780,28594,20601,15719,13086
132,780,28730,20027,15948,13295
133,780,27402,21324,15655,13619
134,780,26118,22308,15940,13634
135,780,25242,23343,16285,13130
136,780,26262,22288,16456,12994
137,780,27961,20644,16176,13219
138,780,26205,22156,16686,12953
139,780,27866,20752,16755,12627
140,780,30232,18539,15695,13534
141,780,30817,17854,16182,13147
142,780,30837,17791,16306,13066
143,780,31685,17247,15857,13211
144,780,34386,15284,15655,12675
145,780,34480,15408,15693,12419
146,780,32270,17048,16972,11710
147,780,31708,17522,17155,11615
148,780,32667,16577,17482,11274
149,780,32710,16542,17384,11364
150,780,34980,14696,17858,10466
151,780,32730,16587,18341,10342
152,780,30630,17947,19565,9858
153,780,31457,17233,19288,10022
154,780,32101,16728,18808,10363
155,780,29983,18286,18301,11430
156,780,28611,19674,18111,11604
157,780,30075,18558,17843,11524
158,780,28423,20029,17478,12070
159,780,28684,19960,17517,11839
160,780,30952,18097,16587,12364
161,780,32124,16942,17017,11917
162,780,29810,18515,16638,13037
163,780,31468,17021,16331,13180
164,780,32560,15968,16331,13141
165,780,31881,16228,16670,13221
166,780,33012,14948,16376,13664
167,780,34607,13761,15588,14044
168,780,34333,13926,15745,13996
169,780,34452,13713,15674,14161
170,780,35216,12831,15818,14135
171,780,32926,14249,14995,15830
172,780,33783,13203,14674,16340
173,780,33668,13430,14741,16161
174,780,33646,13409,14725,16220
175,780,35679,12091,15200,15030
176,780,35865,12005,15103,15027
177,780,38096,10855,14661,14388
178,780,39719,10151,13930,14200
179,780,42075,8786,13517,13622
180,780,42071,8781,13513,13635
181,780,41274,9540,13368,13818
182,780,41264,9666,13175,13895
183,780,42016,8811,13397,13776
184,780,39590,10080,13300,15030
185,780,39839,10195,13247,14719
186,780,38232,11187,13669,14912
187,780,38435,11366,13603,14596
188,780,38533,11132,13620,14715
