round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27901,0.36
3,1024,defect,20985,0.27
3,1024,exploitation,29114,0.37
4,1024,coop,28532,0.37
4,1024,defect,20368,0.26
4,1024,exploitation,29100,0.37
5,1024,coop,29143,0.37
5,1024,defect,19228,0.25
5,1024,exploitation,29629,0.38
6,1024,coop,29101,0.37
6,1024,defect,19102,0.24
6,1024,exploitation,29797,0.38
7,1024,coop,29915,0.38
7,1024,defect,18476,0.24
7,1024,exploitation,29609,0.38
8,1024,coop,29898,0.38
8,1024,defect,18148,0.23
8,1024,exploitation,29954,0.38
9,1024,coop,29603,0.38
9,1024,defect,18551,0.24
9,1024,exploitation,29846,0.38
10,1024,coop,29900,0.38
10,1024,defect,18103,0.23
10,1024,exploitation,29997,0.38
11,1024,coop,29746,0.38
11,1024,defect,18204,0.23
11,1024,exploitation,30050,0.39
12,1024,coop,28067,0.36
12,1024,defect,19735,0.25
12,1024,exploitation,30198,0.39
13,1024,coop,29587,0.38
13,1024,defect,18714,0.24
13,1024,exploitation,29699,0.38
14,1024,coop,27429,0.35
14,1024,defect,20500,0.26
14,1024,exploitation,30071,0.39
15,1024,coop,29627,0.38
15,1024,defect,18502,0.24
15,1024,exploitation,29871,0.38
16,1024,coop,29809,0.38
16,1024,defect,18030,0.23
16,1024,exploitation,30161,0.39
17,1024,coop,30000,0.38
17,1024,defect,18052,0.23
17,1024,exploitation,29948,0.38
18,1024,coop,27535,0.35
18,1024,defect,19869,0.25
18,1024,exploitation,30596,0.39
19,1024,coop,27812,0.36
19,1024,defect,19867,0.25
19,1024,exploitation,30321,0.39
20,1024,coop,29731,0.38
20,1024,defect,18346,0.24
20,1024,exploitation,29923,0.38
21,1024,coop,29642,0.38
21,1024,defect,18081,0.23
21,1024,exploitation,30277,0.39
