round,seed,coop,exploit_,exploit,defect
1,2,29140,17434,11822,19604
2,2,29922,17326,11830,18922
3,2,27640,18030,11231,21099
4,2,27651,18195,11304,20850
5,2,26911,18197,11606,21286
6,2,29933,16751,12006,19310
7,2,29693,17351,11951,19005
8,2,29327,17362,11808,19503
9,2,27918,17725,11907,20450
10,2,26557,17832,11525,22086
11,2,25506,17898,11661,22935
12,2,25734,17826,11578,22862
13,2,25064,18164,11496,23276
14,2,24501,17817,10883,24799
15,2,24593,18292,10996,24119
16,2,24843,18180,11019,23958
17,2,24541,18328,11023,24108
18,2,23990,17873,11287,24850
19,2,22054,17819,11075,27052
20,2,22295,17707,11154,26844
21,2,20658,17320,11421,28601
22,2,19972,17183,11456,29389
23,2,20526,17182,11430,28862
24,2,18241,16902,11331,31526
25,2,17424,17006,10882,32688
26,2,17250,17214,10775,32761
27,2,17891,16893,10553,32663
28,2,16233,16549,10754,34464
29,2,17318,16749,10734,33199
30,2,17108,16972,11213,32707
31,2,17478,16867,11171,32484
32,2,17084,16497,11213,33206
33,2,16973,16738,11217,33072
34,2,16925,16194,11262,33619
35,2,15267,15893,11616,35224
36,2,16898,15985,11794,33323
37,2,16803,15924,11836,33437
38,2,16258,16057,11477,34208
39,2,17010,15972,11769,33249
40,2,18798,16099,12263,30840
41,2,20050,15889,12361,29700
42,2,20357,16247,12565,28831
43,2,21163,16956,12070,27811
44,2,20496,16457,12369,28678
45,2,21124,16502,12673,27701
46,2,21530,16379,12318,27773
47,2,22352,16546,12545,26557
48,2,23544,16246,12899,25311
49,2,24954,15664,12961,24421
50,2,25074,15804,12909,24213
51,2,23963,15366,13402,25269
52,2,21976,14923,13745,27356
53,2,21737,14487,13706,28070
54,2,22257,14700,14149,26894
55,2,22952,14908,13844,26296
56,2,24520,15162,14090,24228
57,2,24972,14875,14016,24137
58,2,26793,14795,14447,21965
59,2,29463,15404,13257,19876
60,2,29137,15504,13426,19933
61,2,30924,15288,13158,18630
62,2,30988,15209,13166,18637
63,2,28810,14991,13779,20420
64,2,29473,15035,13607,19885
65,2,29233,15080,13655,20032
66,2,30588,15041,13884,18487
67,2,29175,15081,13686,20058
68,2,29365,14979,13812,19844
69,2,31025,15375,13376,18224
70,2,30452,15546,13224,18778
71,2,30131,15339,13528,19002
72,2,29042,15022,13694,20242
73,2,27743,15302,13697,21258
74,2,29685,15404,13293,19618
75,2,28123,14974,13621,21282
76,2,25592,15054,13740,23614
77,2,27998,14352,14400,21250
78,2,28138,14402,14439,21021
79,2,27048,14859,13888,22205
80,2,28000,14638,14333,21029
81,2,28252,14522,14335,20891
82,2,29425,14454,14492,19629
83,2,30784,14637,14440,18139
84,2,31192,14432,14419,17957
85,2,30593,14666,14373,18368
86,2,30319,14661,14324,18696
87,2,30318,14631,14435,18616
88,2,29871,14660,14529,18940
89,2,29583,14353,14315,19749
90,2,31547,15026,13894,17533
91,2,32349,14953,13873,16825
92,2,33140,15103,13762,15995
93,2,33238,14813,13448,16501
94,2,35516,14515,13540,14429
95,2,36053,14371,13651,13925
96,2,36043,14377,13648,13932
97,2,35322,14574,13737,14367
98,2,36225,14251,13775,13749
99,2,35957,14335,13898,13810
100,2,35919,14231,13774,14076
101,2,36009,14263,13825,13903
102,2,35096,14481,14112,14311
103,2,36057,14078,13681,14184
104,2,34859,14521,13875,14745
105,2,33932,14622,14277,15169
106,2,34353,14468,14059,15120
107,2,33517,14639,14367,15477
108,2,33598,14596,14466,15340
109,2,33557,14631,14401,15411
110,2,31622,14374,14774,17230
111,2,32106,14270,14764,16860
112,2,28886,14241,15166,19707
113,2,29522,13836,15169,19473
114,2,27673,14339,15296,20692
115,2,28141,14184,15315,20360
116,2,27819,14339,15130,20712
117,2,27481,14502,15397,20620
118,2,27428,14356,15042,21174
119,2,27217,14436,15205,21142
120,2,26990,14549,15319,21142
121,2,27124,14465,15163,21248
122,2,25955,14741,14781,22523
123,2,25842,14794,14991,22373
124,2,25587,14869,14917,22627
125,2,23558,14692,15048,24702
126,2,24047,14421,14691,24841
127,2,22112,15190,14999,25699
128,2,21978,15126,15019,25877
129,2,22883,14993,15157,24967
130,2,23125,14998,15200,24677
131,2,25941,15314,14512,22233
132,2,26209,15151,14365,22275
133,2,26132,15418,14510,21940
134,2,26110,15516,14740,21634
135,2,26072,15439,14580,21909
136,2,24814,15336,13967,23883
137,2,24244,15680,14148,23928
138,2,23916,15680,14244,24160
139,2,24604,15589,14074,23733
140,2,25525,15349,14290,22836
141,2,23669,15562,14274,24495
142,2,24311,15385,14182,24122
143,2,23714,15432,13961,24893
144,2,23697,15466,14029,24808
145,2,22303,15586,13728,26383
146,2,20972,15521,13738,27769
147,2,22142,15359,13586,26913
148,2,21851,15355,13571,27223
149,2,22062,15519,13657,26762
150,2,22037,15474,13667,26822
151,2,20359,15211,13603,28827
152,2,20433,15420,13641,28506
153,2,19141,14775,13871,30213
154,2,18413,14545,13740,31302
