round,seed,defect,coop,exploit,exploit_
1,780,19588,29715,16700,11997
2,780,20394,28115,17730,11761
3,780,21945,26198,17294,12563
4,780,21920,26412,17334,12334
5,780,21172,26954,17556,12318
6,780,22351,25325,17709,12615
7,780,22280,25105,17822,12793
8,780,20083,27518,18105,12294
9,780,20982,27102,17581,12335
10,780,22761,25068,18606,11565
11,780,24896,23154,18552,11398
12,780,26080,21900,18850,11170
13,780,25872,21944,18989,11195
14,780,25461,22138,18970,11431
15,780,26221,21232,19434,11113
16,780,25087,21642,20486,10785
17,780,26926,19851,19559,11664
18,780,28401,18368,18688,12543
19,780,29575,17166,19028,12231
20,780,29563,17228,18814,12395
21,780,29668,17080,18847,12405
22,780,29321,17349,18852,12478
23,780,30367,16746,18272,12615
24,780,31362,16400,17475,12763
25,780,33495,14862,16426,13217
26,780,34289,13801,16411,13499
27,780,36542,12304,16170,12984
28,780,36541,12581,15975,12903
29,780,38935,11120,15030,12915
30,780,38909,11023,15002,13066
31,780,37561,12024,15139,13276
32,780,38948,11047,14393,13612
33,780,39240,10988,14234,13538
34,780,39075,10980,14142,13803
35,780,38947,11052,14317,13684
36,780,37478,11806,14088,14628
37,780,37408,12095,13901,14596
38,780,37862,11917,13818,14403
39,780,37771,12078,13804,14347
40,780,39083,11025,13809,14083
41,780,40521,10084,13991,13404
42,780,41521,8961,14149,13369
43,780,42272,8410,14527,12791
44,780,42023,8351,14595,13031
45,780,44613,7182,13452,12753
46,780,44487,7274,13374,12865
47,780,43294,8078,14283,12345
48,780,43528,8017,14053,12402
49,780,45809,7051,12519,12621
50,780,44575,7630,13197,12598
51,780,44424,7770,13147,12659
52,780,45172,7416,13232,12180
53,780,45027,7551,13292,12130
54,780,46370,6839,13103,11688
55,780,47894,5944,12424,11738
56,780,50777,4843,12100,10280
57,780,50316,4969,12326,10389
58,780,51657,4278,11485,10580
59,780,51784,4320,11300,10596
60,780,51071,4726,11324,10879
61,780,51653,4248,11449,10650
62,780,53266,3742,10878,10114
63,780,53013,3607,11158,10222
64,780,52887,3561,11227,10325
65,780,51599,4196,11623,10582
66,780,50673,4704,12112,10511
67,780,50910,4806,11841,10443
68,780,49643,5325,11907,11125
69,780,49524,5477,11953,11046
70,780,49727,5418,11847,11008
71,780,49087,5654,12362,10897
72,780,48844,5673,12540,10943
73,780,49057,5641,12419,10883
74,780,48364,6127,12560,10949
75,780,48871,5868,12138,11123
76,780,48578,6502,11920,11000
77,780,48147,6456,12123,11274
78,780,50598,5176,12446,9780
79,780,50793,5460,12281,9466
80,780,49286,6129,12788,9797
81,780,46881,7184,14634,9301
82,780,46922,7316,14496,9266
83,780,46728,7254,14691,9327
84,780,46970,7225,14591,9214
85,780,48278,6482,14036,9204
86,780,50857,5371,12197,9575
87,780,50751,5391,12255,9603
88,780,49278,5971,12488,10263
89,780,47875,7041,13207,9877
90,780,48943,6397,13215,9445
91,780,47224,7188,13974,9614
92,780,47324,7210,13818,9648
93,780,48565,6440,13354,9641
94,780,48881,6204,13285,9630
95,780,48797,6243,13409,9551
96,780,48821,6375,13340,9464
97,780,48699,6303,13384,9614
98,780,50299,5559,12813,9329
99,780,51006,5221,12844,8929
100,780,51848,4751,12393,9008
101,780,51782,4925,12359,8934
102,780,51794,4840,12257,9109
103,780,50768,5207,12429,9596
104,780,48125,6488,13232,10155
105,780,48295,6323,13257,10125
106,780,49230,5919,12774,10077
107,780,49811,5332,12786,10071
108,780,50852,5032,12365,9751
109,780,50950,4991,12397,9662
110,780,50954,5090,12236,9720
111,780,52269,4207,12034,9490
112,780,52269,4440,11950,9341
113,780,52880,4232,11444,9444
114,780,53098,4258,11298,9346
115,780,52971,4205,11400,9424
116,780,51770,4859,11828,9543
117,780,51505,4835,11851,9809
118,780,50198,5484,12710,9608
119,780,50839,5234,12777,9150
120,780,52415,4386,12035,9164
121,780,52395,4263,11832,9510
122,780,53570,3794,11456,9180
123,780,54200,3348,11247,9205
124,780,54292,3415,11207,9086
125,780,54891,3348,10907,8854
126,780,54577,3274,11185,8964
127,780,54542,3561,11187,8710
128,780,54347,3558,11322,8773
129,780,52989,4101,12067,8843
130,780,53204,3938,12091,8767
131,780,53024,4157,12014,8805
132,780,53049,4173,11985,8793
133,780,52261,4476,12004,9259
134,780,53057,4341,11770,8832
135,780,52291,4577,12121,9011
136,780,53145,4181,12070,8604
137,780,54676,3477,11293,8554
138,780,53211,4243,12011,8535
139,780,52907,3970,12408,8715
140,780,52956,4025,12278,8741
141,780,52893,4280,12067,8760
142,780,53105,4173,12189,8533
143,780,52885,4187,12300,8628
144,780,53646,3775,12257,8322
145,780,53635,3875,12152,8338
146,780,51200,4822,14042,7936
147,780,51737,4548,14000,7715
148,780,52435,4077,14073,7415
149,780,52479,4057,14216,7248
150,780,52452,4123,13979,7446
151,780,52518,4152,13940,7390
152,780,53835,3368,13304,7493
153,780,54258,3173,13120,7449
154,780,54255,3186,13181,7378
155,780,54177,3231,13035,7557
156,780,54252,3081,13171,7496
157,780,54288,3077,13247,7388
158,780,54186,3162,13057,7595
159,780,54910,2779,13170,7141
160,780,54802,2713,13188,7297
161,780,54779,2850,13170,7201
162,780,54765,2786,13168,7281
163,780,54800,2793,13268,7139
164,780,54828,2781,13173,7218
165,780,54728,2817,13154,7301
166,780,53419,3113,14253,7215
167,780,53451,2916,14266,7367
168,780,53526,3153,14122,7199
169,780,53237,3036,14387,7340
170,780,54530,2518,14061,6891
171,780,54767,2578,13792,6863
172,780,54666,2551,13847,6936
173,780,54692,2615,13983,6710
174,780,54689,2575,13975,6761
175,780,52060,3157,13960,8823
176,780,53107,2841,13084,8968
177,780,53275,2780,12970,8975
178,780,53018,2798,13143,9041
179,780,53136,2850,13014,9000
180,780,53000,2842,13118,9040
181,780,52878,3052,12849,9221
182,780,52848,3073,12846,9233
183,780,52807,3034,12839,9320
184,780,52813,3188,12814,9185
185,780,52660,3163,12917,9260
186,780,52698,3171,12783,9348
187,780,52574,3546,12857,9023
188,780,52286,3419,13047,9248
