round,seed,coop,exploit_,exploit,defect
1,256,29385,17429,11764,19422
2,256,31850,16227,12439,17484
3,256,29692,16461,12866,18981
4,256,30014,16177,12858,18951
5,256,30722,16788,12483,18007
6,256,31485,17259,12137,17119
7,256,29640,18367,11554,18439
8,256,27130,17710,12551,20609
9,256,27609,17568,12370,20453
10,256,29287,18030,11766,18917
11,256,29685,18425,11546,18344
12,256,29306,18441,11706,18547
13,256,29559,18328,11644,18469
14,256,31729,17135,12543,16593
15,256,31164,17112,12275,17449
16,256,31745,17629,11821,16805
17,256,30926,17193,12154,17727
18,256,32881,16797,11800,16522
19,256,30922,17442,12202,17434
20,256,31111,17256,12170,17463
21,256,31830,17597,11922,16651
22,256,29891,16872,12974,18263
23,256,28003,16620,13701,19676
24,256,29985,16867,13125,18023
25,256,27966,16612,13617,19805
26,256,29039,16202,13933,18826
27,256,27780,16112,14279,19829
28,256,30164,14767,15242,17827
29,256,29900,14976,15272,17852
30,256,30501,15126,15370,17003
31,256,28622,15330,15399,18649
32,256,28130,15141,15525,19204
33,256,27681,14851,15547,19921
34,256,27822,14763,15499,19916
35,256,29381,15048,14863,18708
36,256,29862,14895,15116,18127
37,256,28162,15404,14931,19503
38,256,27721,15674,14529,20076
39,256,27540,15664,14504,20292
40,256,28588,15310,14999,19103
41,256,30056,15768,14140,18036
42,256,31896,15624,13750,16730
43,256,31441,15943,13521,17095
44,256,33357,16022,12867,15754
45,256,33251,15985,12849,15915
46,256,34853,15598,12583,14966
47,256,35097,15607,12469,14827
48,256,35150,15711,12522,14617
49,256,35606,15574,12464,14356
50,256,33581,15962,12969,15488
51,256,35387,15467,12775,14371
52,256,32997,14960,13879,16164
53,256,32644,14601,14108,16647
54,256,32664,14641,14056,16639
55,256,32839,14606,13962,16593
56,256,34643,14262,14144,14951
57,256,34248,14411,13702,15639
58,256,34333,14413,13765,15489
59,256,34251,14423,14012,15314
60,256,34600,14631,13792,14977
61,256,32747,14598,14167,16488
62,256,32878,14680,13984,16458
63,256,31370,14208,14659,17763
64,256,29251,14283,15275,19191
65,256,28526,13924,15292,20258
66,256,30320,13682,15376,18622
67,256,30243,13759,15376,18622
68,256,31808,13779,14751,17662
69,256,32851,13617,14698,16834
70,256,32579,13838,14807,16776
71,256,33076,13436,15133,16355
72,256,32740,13754,15355,16151
73,256,33351,13418,15405,15826
74,256,31370,14142,15055,17433
75,256,30628,14207,15106,18059
76,256,28749,14836,14958,19457
77,256,28702,14649,15003,19646
78,256,30510,14518,14623,18349
79,256,30010,14469,14886,18635
80,256,30573,14655,14837,17935
81,256,32043,14602,14355,17000
82,256,33985,13580,14909,15526
83,256,33722,13546,14987,15745
84,256,31942,13263,15659,17136
85,256,34149,12671,15703,15477
86,256,36171,12980,14998,13851
87,256,36022,13009,14901,14068
88,256,35653,13061,14990,14296
