round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27901,0.36
3,1024,defect,20985,0.27
3,1024,exploitation,29114,0.37
4,1024,coop,26453,0.34
4,1024,defect,22400,0.29
4,1024,exploitation,29147,0.37
5,1024,coop,26985,0.35
5,1024,defect,21185,0.27
5,1024,exploitation,29830,0.38
6,1024,coop,27003,0.35
6,1024,defect,21042,0.27
6,1024,exploitation,29955,0.38
7,1024,coop,27062,0.35
7,1024,defect,21281,0.27
7,1024,exploitation,29657,0.38
8,1024,coop,27100,0.35
8,1024,defect,20968,0.27
8,1024,exploitation,29932,0.38
9,1024,coop,26829,0.34
9,1024,defect,21437,0.27
9,1024,exploitation,29734,0.38
10,1024,coop,25496,0.33
10,1024,defect,22296,0.29
10,1024,exploitation,30208,0.39
11,1024,coop,24888,0.32
11,1024,defect,23097,0.3
11,1024,exploitation,30015,0.38
12,1024,coop,26617,0.34
12,1024,defect,22045,0.28
12,1024,exploitation,29338,0.38
13,1024,coop,28323,0.36
13,1024,defect,20332,0.26
13,1024,exploitation,29345,0.38
14,1024,coop,27529,0.35
14,1024,defect,21324,0.27
14,1024,exploitation,29147,0.37
15,1024,coop,29078,0.37
15,1024,defect,19903,0.26
15,1024,exploitation,29019,0.37
16,1024,coop,28401,0.36
16,1024,defect,20395,0.26
16,1024,exploitation,29204,0.37
17,1024,coop,28724,0.37
17,1024,defect,20399,0.26
17,1024,exploitation,28877,0.37
18,1024,coop,27201,0.35
18,1024,defect,21426,0.27
18,1024,exploitation,29373,0.38
19,1024,coop,27585,0.35
19,1024,defect,21383,0.27
19,1024,exploitation,29032,0.37
20,1024,coop,28784,0.37
20,1024,defect,20717,0.27
20,1024,exploitation,28499,0.37
21,1024,coop,26706,0.34
21,1024,defect,21905,0.28
21,1024,exploitation,29389,0.38
