round,seed,population_seed,strategy,count,percentage
1,990,721,coop,29419,0.38
1,990,721,defect,19366,0.25
1,990,721,exploitation,29215,0.37
2,990,721,coop,29412,0.38
2,990,721,defect,19340,0.25
2,990,721,exploitation,29248,0.37
3,990,721,coop,31571,0.4
3,990,721,defect,17642,0.23
3,990,721,exploitation,28787,0.37
4,990,721,coop,32100,0.41
4,990,721,defect,17035,0.22
4,990,721,exploitation,28865,0.37
5,990,721,coop,32470,0.42
5,990,721,defect,16592,0.21
5,990,721,exploitation,28938,0.37
6,990,721,coop,31573,0.4
6,990,721,defect,17642,0.23
6,990,721,exploitation,28785,0.37
7,990,721,coop,32371,0.42
7,990,721,defect,16740,0.21
7,990,721,exploitation,28889,0.37
8,990,721,coop,32204,0.41
8,990,721,defect,16860,0.22
8,990,721,exploitation,28936,0.37
9,990,721,coop,30980,0.4
9,990,721,defect,17597,0.23
9,990,721,exploitation,29423,0.38
10,990,721,coop,33076,0.42
10,990,721,defect,16035,0.21
10,990,721,exploitation,28889,0.37
11,990,721,coop,31342,0.4
11,990,721,defect,17212,0.22
11,990,721,exploitation,29446,0.38
12,990,721,coop,29841,0.38
12,990,721,defect,18338,0.24
12,990,721,exploitation,29821,0.38
13,990,721,coop,31821,0.41
13,990,721,defect,16981,0.22
13,990,721,exploitation,29198,0.37
14,990,721,coop,30994,0.4
14,990,721,defect,17431,0.22
14,990,721,exploitation,29575,0.38
15,990,721,coop,29362,0.38
15,990,721,defect,19006,0.24
15,990,721,exploitation,29632,0.38
16,990,721,coop,29110,0.37
16,990,721,defect,19113,0.25
16,990,721,exploitation,29777,0.38
17,990,721,coop,27653,0.35
17,990,721,defect,20327,0.26
17,990,721,exploitation,30020,0.38
18,990,721,coop,26875,0.34
18,990,721,defect,21488,0.28
18,990,721,exploitation,29637,0.38
19,990,721,coop,28961,0.37
19,990,721,defect,19229,0.25
19,990,721,exploitation,29810,0.38
20,990,721,coop,28820,0.37
20,990,721,defect,19758,0.25
20,990,721,exploitation,29422,0.38
21,990,721,coop,27293,0.35
21,990,721,defect,20748,0.27
21,990,721,exploitation,29959,0.38
22,990,721,coop,26748,0.34
22,990,721,defect,21366,0.27
22,990,721,exploitation,29886,0.38
23,990,721,coop,24950,0.32
23,990,721,defect,22723,0.29
23,990,721,exploitation,30327,0.39
24,990,721,coop,24757,0.32
24,990,721,defect,23144,0.3
24,990,721,exploitation,30099,0.39
25,990,721,coop,22727,0.29
25,990,721,defect,25285,0.32
25,990,721,exploitation,29988,0.38
26,990,721,coop,23196,0.3
26,990,721,defect,24489,0.31
26,990,721,exploitation,30315,0.39
