round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12647,28645,16216,20492
5,16,13228,27132,16276,21364
6,16,13141,27489,16166,21204
7,16,13196,27165,16346,21293
8,16,12784,25906,16766,22544
9,16,12771,25815,16807,22607
10,16,12893,25632,16805,22670
11,16,13521,24417,16336,23726
12,16,13492,24314,16249,23945
13,16,13473,22296,16112,26119
14,16,13478,22276,16136,26110
15,16,13493,22419,16121,25967
16,16,13304,24312,16709,23675
17,16,13051,26349,16817,21783
18,16,12818,25106,17351,22725
19,16,12855,25174,17164,22807
20,16,12993,25125,17286,22596
21,16,13562,23954,16789,23695
22,16,14555,21844,15839,25762
23,16,15566,22294,15713,24427
24,16,15312,24110,15455,23123
25,16,15325,24135,15531,23009
26,16,15674,22811,15220,24295
27,16,14515,24457,16317,22711
28,16,14512,24890,16586,22012
29,16,15631,22984,15676,23709
30,16,15503,23181,15591,23725
31,16,16023,23680,15721,22576
32,16,16420,23713,15661,22206
33,16,17392,22210,15301,23097
34,16,17286,22200,15270,23244
35,16,17031,23974,14978,22017
36,16,16927,23599,14803,22671
37,16,16002,25009,14975,22014
38,16,16367,26133,14201,21299
39,16,16343,26127,14313,21217
40,16,15726,27362,14562,20350
41,16,15548,28367,14827,19258
42,16,15861,28635,14820,18684
43,16,15758,28535,14839,18868
44,16,15717,28448,15034,18801
45,16,15670,28041,14539,19750
46,16,15631,27867,14626,19876
47,16,16250,28502,14486,18762
48,16,16275,28039,14345,19341
49,16,15328,26269,15192,21211
50,16,15936,28074,14522,19468
51,16,16692,26963,14132,20213
52,16,16301,24843,14931,21925
53,16,16213,24897,15006,21884
54,16,16181,24984,14793,22042
55,16,16443,23331,15018,23208
56,16,16504,23051,15099,23346
57,16,15869,24871,15198,22062
58,16,15796,24651,14853,22700
59,16,15696,22565,15240,24499
60,16,15778,23954,14934,23334
61,16,16755,26040,13863,21342
62,16,16760,26384,13874,20982
63,16,16641,24766,14240,22353
64,16,16579,24924,14218,22279
65,16,16666,24713,14207,22414
66,16,16854,24545,14234,22367
67,16,16517,24804,14116,22563
68,16,16493,26327,13992,21188
69,16,15834,27859,14365,19942
70,16,15416,25711,14882,21991
71,16,15207,26270,15464,21059
72,16,15288,28342,15200,19170
73,16,14359,30313,15478,17850
74,16,13754,28899,16440,18907
75,16,14111,28826,16933,18130
76,16,13941,29115,16709,18235
77,16,14248,31082,16244,16426
78,16,13953,30964,16077,17006
79,16,14134,30584,16222,17060
80,16,13170,32670,16386,15774
81,16,14450,30401,15662,17487
82,16,14289,30780,15884,17047
83,16,15159,32885,14533,15423
84,16,15187,33105,14486,15222
85,16,15675,31218,14751,16356
86,16,15462,30383,14926,17229
87,16,15684,30579,14920,16817
88,16,14410,28812,16104,18674
89,16,13440,30768,17022,16770
90,16,14192,28796,16544,18468
91,16,14508,29379,16458,17655
92,16,13788,28741,16853,18618
93,16,13876,28786,16766,18572
94,16,13738,29110,16936,18216
95,16,13786,29421,17422,17371
96,16,14605,31586,16136,15673
97,16,14619,31502,16138,15741
98,16,14699,31871,16278,15152
99,16,13361,33536,16728,14375
100,16,13318,33989,16654,14039
101,16,13520,33409,16723,14348
102,16,13099,35279,16173,13449
103,16,12645,35892,16545,12918
104,16,12641,37573,15973,11813
105,16,12680,37763,15757,11800
106,16,13270,35811,15827,13092
107,16,13291,35714,16023,12972
108,16,13378,35604,16048,12970
109,16,13496,35649,16069,12786
110,16,13393,35756,15899,12952
111,16,13316,34992,15921,13771
112,16,13292,35532,15920,13256
113,16,13495,35236,15982,13287
114,16,13496,33876,16550,14078
115,16,13415,33496,16650,14439
116,16,13481,34879,16170,13470
117,16,13355,35217,15738,13690
118,16,13687,34471,15621,14221
119,16,13793,33649,15397,15161
120,16,13554,33055,15378,16013
121,16,13749,32966,15123,16162
122,16,13092,33890,15767,15251
123,16,13332,31974,16092,16602
124,16,12684,34107,16527,14682
125,16,12734,33984,16568,14714
126,16,12471,34525,16368,14636
127,16,12767,33902,16528,14803
128,16,12095,31930,17487,16488
129,16,12113,32244,17609,16034
130,16,12746,30354,17577,17323
131,16,12882,30516,17433,17169
132,16,12479,28943,18539,18039
133,16,13064,29263,18125,17548
134,16,12542,27102,19335,19021
135,16,12728,25259,19159,20854
136,16,12728,25312,19138,20822
137,16,12433,25002,18977,21588
138,16,12200,24738,19042,22020
139,16,11866,26434,19206,20494
140,16,11886,26407,19107,20600
141,16,12212,24370,18730,22688
142,16,12692,23018,18893,23397
143,16,12596,23266,18774,23364
144,16,11816,21257,19450,25477
145,16,12156,20645,18683,26516
146,16,12179,20378,18662,26781
147,16,12859,19280,18311,27550
148,16,12752,19032,17469,28747
149,16,13004,18701,17656,28639
150,16,13590,17659,17460,29291
151,16,13483,17609,17422,29486
152,16,13658,17806,17533,29003
153,16,14592,19674,16719,27015
154,16,15330,17790,15783,29097
155,16,15288,18086,15863,28763
156,16,15369,16233,15400,30998
157,16,14254,14789,15852,33105
158,16,12696,13207,16749,35348
159,16,13990,14794,16019,33197
160,16,13846,13886,16403,33865
161,16,12949,15485,17735,31831
162,16,13121,15341,17739,31799
163,16,13631,16559,17061,30749
164,16,13153,18013,17639,29195
165,16,13265,17934,17617,29184
166,16,13396,19081,17162,28361
167,16,12899,20118,17452,27531
168,16,13136,18747,17315,28802
169,16,13166,18598,17426,28810
170,16,13401,19778,16649,28172
171,16,13900,21254,16716,26130
172,16,13662,22822,16618,24898
173,16,13236,21758,16978,26028
174,16,13174,22868,16895,25063
175,16,13446,22463,16512,25579
176,16,13290,23424,16328,24958
177,16,13484,24011,16239,24266
178,16,13427,24002,16266,24305
179,16,13991,25954,15697,22358
180,16,14006,25959,15710,22325
181,16,13982,26083,15700,22235
182,16,14723,24317,15358,23602
183,16,14594,24263,15317,23826
184,16,14711,24272,15411,23606
185,16,14021,25988,15759,22232
186,16,13738,26424,16023,21815
187,16,13704,27320,16188,20788
188,16,13848,27338,16289,20525
189,16,13183,26451,16581,21785
190,16,13094,24256,16959,23691
191,16,12328,22130,17729,25813
192,16,12242,22337,17529,25892
193,16,12081,21723,17291,26905
194,16,11877,22735,17281,26107
195,16,12429,21246,17013,27312
196,16,13018,22818,16388,25776
197,16,12548,24157,16369,24926
198,16,12689,23922,16314,25075
199,16,12783,24297,16288,24632
200,16,12990,23809,16291,24910
201,16,13299,23388,15957,25356
202,16,13204,24073,16388,24335
203,16,13010,24294,16313,24383
204,16,13003,23764,16140,25093
205,16,13009,24140,16056,24795
206,16,12876,23771,16150,25203
207,16,12886,22616,16139,26359
208,16,13033,22507,16576,25884
209,16,12648,22559,16584,26209
210,16,12612,22517,16500,26371
211,16,12665,21423,16424,27488
212,16,12951,20252,15964,28833
213,16,12872,20425,15898,28805
214,16,13218,22051,15691,27040
215,16,13312,22070,15648,26970
216,16,13206,22293,15530,26971
217,16,12907,22897,16308,25888
218,16,12944,22822,16345,25889
219,16,12506,24102,16675,24717
220,16,12614,23765,16788,24833
221,16,12520,23943,16909,24628
222,16,12913,24336,16884,23867
223,16,11851,22405,17703,26041
224,16,11848,21829,17638,26685
225,16,12062,23364,17206,25368
226,16,12368,22973,16862,25797
227,16,13071,24618,16406,23905
228,16,13224,25423,16048,23305
229,16,13326,25259,16286,23129
230,16,13280,25255,16259,23206
231,16,13154,25718,15923,23205
232,16,13585,24510,15547,24358
233,16,14267,22326,14882,26525
234,16,14416,23981,14457,25146
235,16,14330,22836,14572,26262
236,16,14163,22897,14342,26598
237,16,14281,22530,14421,26768
238,16,14460,21911,14526,27103
239,16,14681,23010,14157,26152
240,16,14668,23135,14096,26101
241,16,15178,23874,13829,25119
242,16,15258,23859,13960,24923
243,16,15078,24749,14140,24033
244,16,15221,23859,13355,25565
245,16,15794,22506,13234,26466
246,16,16321,20395,12232,29052
247,16,16342,20730,12040,28888
248,16,16576,21234,12126,28064
249,16,16946,21488,11861,27705
250,16,17084,21699,11714,27503
251,16,16306,20539,12056,29099
252,16,16362,19773,11730,30135
