round,seed,exploit,defect,exploit_,coop
1,559,17035,19587,12164,29214
2,559,17240,19188,12420,29152
3,559,17077,19501,12186,29236
4,559,16959,19588,12156,29297
5,559,16758,19851,12269,29122
6,559,16609,18316,12446,30629
7,559,16861,19541,12299,29299
8,559,16816,19353,12279,29552
9,559,17051,19702,12281,28966
10,559,16943,19847,12121,29089
11,559,17137,19797,12162,28904
12,559,17262,18305,11921,30512
13,559,16625,17402,11977,31996
14,559,16885,16699,12128,32288
15,559,16649,15581,11897,33873
16,559,16746,15430,11722,34102
17,559,16631,15597,11733,34039
18,559,16609,15712,11638,34041
19,559,16823,16564,11552,33061
20,559,17259,15828,11214,33699
21,559,16486,14190,11371,35953
22,559,16628,13685,11328,36359
23,559,17696,14892,10960,34452
24,559,17772,15076,10972,34180
25,559,16161,13188,11614,37037
26,559,16150,12737,11583,37530
27,559,16097,12540,11618,37745
28,559,16040,12491,11699,37770
29,559,16262,11891,11393,38454
30,559,16310,11330,11543,38817
31,559,16126,11816,11314,38744
32,559,16070,11651,11424,38855
33,559,16792,13120,11678,36410
34,559,16664,13415,11675,36246
35,559,16689,13363,11566,36382
36,559,16317,13986,12205,35492
37,559,16125,14704,13093,34078
38,559,15988,13985,13384,34643
39,559,15936,14633,13027,34404
40,559,15235,13137,13118,36510
41,559,15347,12790,13147,36716
42,559,15247,14620,13985,34148
43,559,15146,14524,13889,34441
44,559,15313,14194,13853,34640
45,559,15394,14296,13779,34531
46,559,15373,14026,13725,34876
47,559,15350,14064,13791,34795
48,559,15648,14966,13206,34180
49,559,15877,14610,13161,34352
50,559,17020,16462,12476,32042
51,559,17398,15965,12217,32420
52,559,17310,16649,13095,30946
53,559,17295,16615,13266,30824
54,559,17362,17026,13019,30593
55,559,16486,18186,13311,30017
56,559,16380,19006,14306,28308
57,559,15198,17299,14890,30613
58,559,15664,16544,14858,30934
59,559,15749,16956,14795,30500
60,559,15537,17621,14693,30149
61,559,16334,19349,14166,28151
62,559,16098,19768,14053,28081
63,559,16389,19697,14069,27845
64,559,15882,21756,14639,25723
65,559,15704,21797,14593,25906
66,559,15832,21431,14648,26089
67,559,16152,22393,15131,24324
68,559,16526,23308,15120,23046
69,559,16341,24547,15384,21728
70,559,16322,24643,15213,21822
71,559,16240,24543,15386,21831
72,559,15846,26406,15722,20026
73,559,16365,28660,14652,18323
74,559,15657,30739,14967,16637
75,559,15433,28310,16129,18128
76,559,14549,27745,16419,19287
77,559,14693,26477,16020,20810
78,559,14248,27388,16689,19675
79,559,14395,26141,17473,19991
80,559,14243,28532,17006,18219
81,559,14340,26706,17300,19654
82,559,14309,26402,17304,19985
83,559,14257,26422,17309,20012
84,559,14267,26267,17446,20020
85,559,14467,25225,16928,21380
86,559,14490,25084,16905,21521
87,559,15069,23122,16603,23206
88,559,15132,24409,16685,21774
89,559,15282,26284,16362,20072
90,559,15017,28597,16093,18293
91,559,14950,27750,16773,18527
92,559,15028,27734,16790,18448
93,559,15623,29636,15826,16915
94,559,14840,29166,16000,17994
95,559,15563,29746,15794,16897
96,559,17131,27588,14723,18558
97,559,16230,29101,14740,17929
98,559,16256,28961,14680,18103
99,559,16338,27556,15457,18649
100,559,17007,28797,14799,17397
101,559,16955,28222,14649,18174
102,559,18251,26126,13637,19986
103,559,18214,26943,13258,19585
104,559,18118,26951,13323,19608
105,559,16803,29178,14142,17877
106,559,16741,28881,14296,18082
107,559,16962,26868,14347,19823
108,559,16933,26842,14338,19887
109,559,16489,27427,14393,19691
110,559,18014,25509,13317,21160
111,559,17888,24892,13722,21498
112,559,17724,25085,13813,21378
113,559,17197,22860,14435,23508
114,559,16511,24952,15031,21506
115,559,17614,22894,14170,23322
116,559,17583,23323,13684,23410
117,559,17678,23316,13842,23164
118,559,17785,23590,13761,22864
119,559,17881,21507,13493,25119
120,559,17895,21513,13544,25048
121,559,18458,22313,13618,23611
122,559,18031,21134,14389,24446
123,559,18219,22365,13396,24020
124,559,18463,22374,13484,23679
125,559,19534,22817,13102,22547
126,559,19451,22820,13308,22421
127,559,19174,24171,12782,21873
128,559,19716,23028,12741,22515
129,559,19877,22974,12781,22368
130,559,20721,24792,11795,20692
131,559,20701,24825,11799,20675
132,559,20791,24762,11741,20706
133,559,20300,25875,11885,19940
134,559,20167,26191,11582,20060
135,559,21010,26840,11194,18956
136,559,21897,24914,10460,20729
137,559,21122,24080,10899,21899
138,559,20137,22960,11508,23395
139,559,18856,24935,12693,21516
140,559,18793,24551,12722,21934
141,559,18111,22875,13650,23364
142,559,18125,23029,13606,23240
143,559,18121,23027,13551,23301
144,559,18228,23747,13711,22314
145,559,18471,22497,14362,22670
146,559,18179,21260,14398,24163
147,559,17804,19584,14380,26232
148,559,17698,18781,13888,27633
149,559,17704,18874,13816,27606
150,559,17850,19368,13690,27092
151,559,17869,19281,13690,27160
152,559,17816,19343,13648,27193
153,559,17603,19010,13833,27554
154,559,17388,19589,13928,27095
155,559,17195,19630,13950,27225
156,559,17335,19638,14068,26959
157,559,16344,18771,14256,28629
158,559,16355,17025,14029,30591
159,559,16408,18033,13783,29776
160,559,16826,18556,13965,28653
161,559,16711,17488,13465,30336
162,559,16725,17548,13364,30363
163,559,16781,17526,13580,30113
164,559,16737,17540,13347,30376
165,559,17794,15749,12160,32297
166,559,17716,15689,12042,32553
167,559,17621,14945,11488,33946
168,559,17283,15808,11604,33305
169,559,17528,16781,12102,31589
170,559,16139,15132,12893,33836
171,559,16176,15826,13383,32615
172,559,16287,15802,13238,32673
173,559,16089,14115,13107,34689
174,559,15597,13658,13408,35337
175,559,15673,13275,13604,35448
176,559,15798,13967,13434,34801
177,559,15676,13731,13402,35191
178,559,14721,12957,13472,36850
179,559,14953,12847,13652,36548
180,559,14994,12352,13611,37043
181,559,14615,13978,14520,34887
182,559,14311,12561,14034,37094
183,559,14590,11017,13209,39184
184,559,13031,9668,13621,41680
185,559,13057,9435,13728,41780
186,559,13087,9943,13619,41351
187,559,12183,8509,13570,43738
188,559,12224,8365,13503,43908
189,559,12074,9852,14806,41268
190,559,11309,11227,16482,38982
191,559,11348,11440,16294,38918
192,559,11128,11554,16460,38858
193,559,11317,10814,16295,39574
194,559,11205,10428,16522,39845
195,559,11205,10441,16524,39830
196,559,11242,9582,16607,40569
197,559,11095,9728,16528,40649
198,559,11317,8942,16710,41031
199,559,11375,9060,16462,41103
200,559,11032,8692,16894,41382
201,559,11087,8961,16877,41075
202,559,10677,7776,15831,43716
203,559,10563,7888,15730,43819
204,559,10832,9027,16800,41341
205,559,11599,7785,14936,43680
206,559,11491,8803,16260,41446
207,559,11696,8748,16211,41345
