round,seed,population_seed,strategy,count,percentage
1,588,634,coop,29253,0.38
1,588,634,defect,19428,0.25
1,588,634,exploitation,29319,0.38
2,588,634,coop,29292,0.38
2,588,634,defect,19597,0.25
2,588,634,exploitation,29111,0.37
3,588,634,coop,28912,0.37
3,588,634,defect,20033,0.26
3,588,634,exploitation,29055,0.37
4,588,634,coop,31151,0.4
4,588,634,defect,17897,0.23
4,588,634,exploitation,28952,0.37
5,588,634,coop,30459,0.39
5,588,634,defect,18923,0.24
5,588,634,exploitation,28618,0.37
6,588,634,coop,30503,0.39
6,588,634,defect,18523,0.24
6,588,634,exploitation,28974,0.37
7,588,634,coop,30903,0.4
7,588,634,defect,18479,0.24
7,588,634,exploitation,28618,0.37
8,588,634,coop,30372,0.39
8,588,634,defect,18860,0.24
8,588,634,exploitation,28768,0.37
9,588,634,coop,30989,0.4
9,588,634,defect,18377,0.24
9,588,634,exploitation,28634,0.37
10,588,634,coop,31237,0.4
10,588,634,defect,17660,0.23
10,588,634,exploitation,29103,0.37
11,588,634,coop,29836,0.38
11,588,634,defect,18922,0.24
11,588,634,exploitation,29242,0.37
12,588,634,coop,30300,0.39
12,588,634,defect,18603,0.24
12,588,634,exploitation,29097,0.37
13,588,634,coop,29468,0.38
13,588,634,defect,19156,0.25
13,588,634,exploitation,29376,0.38
14,588,634,coop,29321,0.38
14,588,634,defect,19345,0.25
14,588,634,exploitation,29334,0.38
15,588,634,coop,29851,0.38
15,588,634,defect,19087,0.24
15,588,634,exploitation,29062,0.37
16,588,634,coop,29835,0.38
16,588,634,defect,18972,0.24
16,588,634,exploitation,29193,0.37
17,588,634,coop,29752,0.38
17,588,634,defect,18970,0.24
17,588,634,exploitation,29278,0.38
18,588,634,coop,31829,0.41
18,588,634,defect,17555,0.23
18,588,634,exploitation,28616,0.37
19,588,634,coop,33493,0.43
19,588,634,defect,16106,0.21
19,588,634,exploitation,28401,0.36
20,588,634,coop,34125,0.44
20,588,634,defect,15594,0.2
20,588,634,exploitation,28281,0.36
21,588,634,coop,34090,0.44
21,588,634,defect,15532,0.2
21,588,634,exploitation,28378,0.36
22,588,634,coop,36195,0.46
22,588,634,defect,13840,0.18
22,588,634,exploitation,27965,0.36
23,588,634,coop,36327,0.47
23,588,634,defect,13829,0.18
23,588,634,exploitation,27844,0.36
24,588,634,coop,36176,0.46
24,588,634,defect,13846,0.18
24,588,634,exploitation,27978,0.36
25,588,634,coop,36662,0.47
25,588,634,defect,13504,0.17
25,588,634,exploitation,27834,0.36
26,588,634,coop,35791,0.46
26,588,634,defect,14203,0.18
26,588,634,exploitation,28006,0.36
27,588,634,coop,34626,0.44
