round,seed,coop,exploit_,exploit,defect
25,32,23345,15216,13660,25779
26,32,23143,15233,13642,25982
27,32,24325,15258,13818,24599
28,32,25248,15413,13905,23434
29,32,23653,14266,14398,25683
30,32,24593,13916,14837,24654
31,32,25125,14264,14620,23991
32,32,25724,14394,14450,23432
33,32,25544,14459,14525,23472
34,32,26605,14549,14332,22514
35,32,26585,14435,14410,22570
36,32,26838,14663,14391,22108
37,32,26029,14873,14374,22724
38,32,26221,14716,14045,23018
39,32,26113,14772,14182,22933
40,32,26151,14711,14278,22860
41,32,25932,14369,14503,23196
42,32,26501,14956,14082,22461
43,32,27924,14899,13993,21184
44,32,28142,14911,14057,20890
45,32,27595,15213,14115,21077
46,32,30346,15247,13521,18886
47,32,30774,15164,13472,18590
48,32,32471,15483,13515,16531
49,32,32677,15393,13237,16693
50,32,33018,15172,13200,16610
51,32,32040,15100,13287,17573
52,32,32656,14930,13345,17069
53,32,31101,14436,13893,18570
54,32,30798,14618,14096,18488
55,32,31280,14907,13958,17855
56,32,31019,14838,14002,18141
57,32,32554,14742,13692,17012
58,32,30437,15827,13172,18564
59,32,30535,15688,12975,18802
60,32,33243,15974,12380,16403
61,32,32549,16088,12463,16900
62,32,32616,16068,12483,16833
63,32,32998,16053,12444,16505
64,32,32915,16091,12337,16657
65,32,34864,16652,11552,14932
66,32,34225,16603,11823,15349
67,32,36226,15792,12364,13618
68,32,36939,15612,12099,13350
69,32,36792,15644,12244,13320
70,32,36251,15714,12252,13783
71,32,34756,16079,11869,15296
72,32,37029,15880,11836,13255
73,32,37648,15928,11453,12971
74,32,37915,15938,11452,12695
75,32,38243,16082,11255,12420
76,32,38401,16054,11345,12200
77,32,38823,15987,11269,11921
78,32,39172,15968,10961,11899
79,32,36525,16077,11684,13714
80,32,37219,16233,11449,13099
81,32,36699,16259,11330,13712
82,32,38779,16161,11010,12050
83,32,39381,16081,10963,11575
84,32,40611,15620,11295,10474
85,32,40880,15522,11410,10188
86,32,42216,15067,11036,9681
87,32,41971,15140,11189,9700
88,32,42094,15186,11208,9512
89,32,41517,15192,11357,9934
90,32,41812,15183,11327,9678
91,32,41914,15067,11303,9716
92,32,42036,14991,11252,9721
93,32,41207,15006,11690,10097
94,32,41068,15188,11821,9923
95,32,39046,14762,12452,11740
96,32,39258,14756,12545,11441
97,32,38438,14713,12904,11945
98,32,39049,14450,12664,11837
99,32,38534,14713,12790,11963
100,32,38251,14679,13002,12068
101,32,37420,14663,13328,12589
102,32,37584,14549,13293,12574
103,32,38699,14212,12905,12184
104,32,36745,13654,14004,13597
105,32,36218,13988,14050,13744
106,32,38872,14151,13075,11902
107,32,38457,14393,13208,11942
108,32,37546,14369,13435,12650
109,32,38834,14158,13160,11848
110,32,40380,13478,13548,10594
111,32,39791,13478,13661,11070
112,32,40788,13121,13459,10632
113,32,39797,13528,13565,11110
114,32,40584,13453,13223,10740
115,32,40088,13500,13459,10953
116,32,39337,13692,13575,11396
117,32,38763,13939,13659,11639
118,32,39348,13937,13394,11321
119,32,40064,13752,13162,11022
120,32,38794,14132,13452,11622
121,32,39300,13857,13359,11484
122,32,38827,13923,13408,11842
123,32,37629,14069,13699,12603
124,32,38246,14053,13785,11916
125,32,39425,14017,13215,11343
126,32,38844,14121,13305,11730
127,32,39921,13845,13134,11100
128,32,37198,14217,13415,13170
129,32,37147,14278,13529,13046
130,32,37368,14212,13581,12839
131,32,37860,14201,13306,12633
132,32,35882,14270,13626,14222
133,32,36027,14233,13633,14107
134,32,37830,14412,13239,12519
135,32,37614,14446,13166,12774
136,32,37486,14501,13317,12696
137,32,36263,14646,13398,13693
138,32,36993,14545,13325,13137
139,32,37756,14670,12988,12586
140,32,37657,14836,12889,12618
141,32,37551,14819,12922,12708
142,32,37804,14648,12839,12709
143,32,36893,14847,13076,13184
144,32,34851,14536,13536,15077
145,32,33986,14945,13520,15549
146,32,34305,14858,13441,15396
147,32,35658,14393,14186,13763
148,32,34910,14307,14356,14427
149,32,36784,14344,14259,12613
150,32,37025,14114,14290,12571
151,32,39599,14198,13788,10415
152,32,39987,14081,13573,10359
153,32,39374,14362,13703,10561
154,32,40244,13922,13655,10179
155,32,40216,14150,13722,9912
156,32,38095,13951,14137,11817
157,32,37977,14004,14100,11919
158,32,37862,13853,14236,12049
159,32,36618,14271,14309,12802
160,32,36520,14302,14460,12718
161,32,38200,13949,14606,11245
162,32,37851,14063,14694,11392
163,32,37699,14257,14826,11218
164,32,38237,13912,14574,11277
165,32,37806,13928,14630,11636
166,32,38287,13812,14591,11310
167,32,38110,13834,14387,11669
168,32,38202,13857,14624,11317
169,32,38746,13614,14710,10930
170,32,38272,13987,14762,10979
171,32,38627,13701,14631,11041
172,32,38739,13794,14599,10868
173,32,38451,13857,14826,10866
174,32,40311,13611,14626,9452
175,32,40579,13518,14605,9298
176,32,41007,13547,14595,8851
177,32,42588,13117,13955,8340
178,32,43062,13027,13888,8023
179,32,42232,13206,14182,8380
180,32,42984,13103,13888,8025
181,32,43204,12995,13778,8023
