round,seed,defect,exploit,exploit_,coop
1,367,19551,16902,12115,29432
2,367,19472,16965,12189,29374
3,367,18549,16990,12333,30128
4,367,18815,16816,12287,30082
5,367,17217,16749,12267,31767
6,367,17380,16394,12608,31618
7,367,17814,16496,12596,31094
8,367,18925,16739,12510,29826
9,367,20306,16059,13681,27954
10,367,19478,16253,13342,28927
11,367,19144,16354,13035,29467
12,367,19496,16238,13454,28812
13,367,18811,15391,13708,30090
14,367,20675,16143,13172,28010
15,367,21503,16018,13776,26703
16,367,22881,16016,14090,25013
17,367,22936,16058,14036,24970
18,367,23288,16147,13999,24566
19,367,21394,16637,13381,26588
20,367,20257,16141,13903,27699
21,367,20539,16109,13998,27354
22,367,21287,16290,14285,26138
23,367,21062,16228,14318,26392
24,367,19374,17299,13186,28141
25,367,18724,17764,12937,28575
26,367,20837,17146,13491,26526
27,367,21346,17032,13347,26275
28,367,19478,16049,14323,28150
29,367,19744,16101,14425,27730
30,367,17763,15885,14295,30057
31,367,17945,15946,14409,29700
32,367,18626,15813,14263,29298
33,367,17950,15170,14275,30605
34,367,17217,14751,14592,31440
35,367,18824,14984,14935,29257
36,367,18238,14807,15153,29802
37,367,17715,15126,15111,30048
38,367,16952,14995,15543,30510
39,367,14983,14530,15446,33041
40,367,15254,14498,15404,32844
41,367,14790,14583,15363,33264
42,367,15459,14721,14923,32897
43,367,14262,14245,15011,34482
44,367,14474,14008,14965,34553
45,367,16107,14665,14894,32334
46,367,15408,14452,14559,33581
47,367,14340,14367,14953,34340
48,367,14434,14168,14892,34506
49,367,13270,13372,15130,36228
50,367,11771,12812,14899,38518
51,367,11565,12639,15193,38603
52,367,12138,12720,14815,38327
53,367,11940,12764,14719,38577
54,367,12091,12981,14838,38090
55,367,12348,12779,14927,37946
56,367,12276,12758,15024,37942
57,367,12898,13814,15024,36264
58,367,13005,13608,14868,36519
59,367,12335,13878,14477,37310
60,367,11371,14117,13344,39168
61,367,9713,13767,12714,41806
62,367,10819,14905,12737,39539
63,367,11002,14865,12898,39235
64,367,9554,14413,12380,41653
65,367,8407,13284,12550,43759
66,367,8539,13285,12588,43588
67,367,8688,13406,12407,43499
68,367,8988,13762,12475,42775
69,367,9193,13557,12261,42989
70,367,8998,13708,12317,42977
71,367,7596,13404,11437,45563
72,367,6522,12991,10800,47687
73,367,7902,13064,11932,45102
74,367,6642,13113,11282,46963
75,367,8146,14584,11068,44202
76,367,7979,14450,10830,44741
77,367,7969,14284,10831,44916
78,367,6980,13987,10538,46495
79,367,6735,13984,10401,46880
80,367,6642,13748,10112,47498
81,367,6075,13809,9843,48273
82,367,6233,13913,9966,47888
83,367,7413,13486,11398,45703
84,367,7907,13650,11559,44884
85,367,8233,13427,11725,44615
86,367,8631,13920,11669,43780
87,367,9849,13619,12343,42189
88,367,9917,13953,12385,41745
89,367,9926,13784,12382,41908
90,367,10020,13921,12463,41596
91,367,10023,13747,12455,41775
92,367,8103,14500,11051,44346
93,367,8130,14278,11028,44564
94,367,8262,14337,10876,44525
95,367,8272,14177,11096,44455
96,367,8297,14270,10970,44463
97,367,9551,15266,10772,42411
98,367,10693,16514,10345,40448
99,367,9414,15346,10457,42783
100,367,9297,15363,10457,42883
101,367,9107,15423,10500,42970
102,367,9160,15453,10563,42824
103,367,8417,14246,10974,44363
104,367,8240,14366,11223,44171
105,367,8210,14220,11082,44488
106,367,6952,12989,11412,46647
107,367,5425,12918,10392,49265
108,367,5661,13037,10228,49074
109,367,5696,13131,10447,48726
110,367,5679,12938,10389,48994
111,367,5633,13198,10472,48697
112,367,5905,13415,10641,48039
113,367,6418,13415,10864,47303
114,367,6316,13338,10655,47691
115,367,6033,13107,10726,48134
116,367,5801,13186,10831,48182
117,367,4470,11839,10595,51096
118,367,5016,11944,11078,49962
119,367,4888,12057,11221,49834
120,367,5357,12471,11564,48608
121,367,5503,12409,11592,48496
122,367,5589,12343,11627,48441
123,367,5203,12261,11426,49110
124,367,4957,12197,11445,49401
125,367,4942,12512,11439,49107
126,367,4885,12165,11263,49687
127,367,4979,12234,11286,49501
128,367,5014,11983,11196,49807
129,367,4465,11702,10979,50854
130,367,4435,11895,11214,50456
131,367,4807,11825,11446,49922
132,367,5050,11972,11454,49524
133,367,5022,12097,11595,49286
134,367,5073,12060,11788,49079
135,367,4879,11824,11231,50066
136,367,4488,11953,11280,50279
137,367,4727,12043,11431,49799
138,367,4793,12016,11384,49807
139,367,5023,12014,11594,49369
140,367,4784,11847,11481,49888
141,367,4852,11786,11605,49757
142,367,4542,11602,11415,50441
143,367,4634,11597,11429,50340
144,367,4573,11486,11432,50509
145,367,4689,11614,11762,49935
146,367,4765,11495,11699,50041
147,367,4529,11635,11640,50196
148,367,4506,11467,11493,50534
149,367,4445,11376,11368,50811
150,367,4602,11428,11664,50306
151,367,5873,11157,13067,47903
152,367,6392,11135,12973,47500
153,367,6341,11268,12880,47511
154,367,6060,11229,12843,47868
155,367,5560,10829,12976,48635
156,367,5873,10825,13158,48144
157,367,6171,10864,13347,47618
158,367,7261,10597,14267,45875
159,367,7830,11180,14289,44701
160,367,8048,11441,14454,44057
161,367,7588,11013,14110,45289
162,367,7773,10908,14078,45241
163,367,7857,10965,14176,45002
164,367,7910,11011,14371,44708
165,367,7969,11094,14343,44594
166,367,8100,11189,14398,44313
167,367,7818,10851,14189,45142
168,367,8302,11337,14332,44029
169,367,7843,11109,14475,44573
170,367,7974,11083,14139,44804
171,367,7664,10868,14242,45226
172,367,8270,11394,14077,44259
173,367,8067,11323,14090,44520
174,367,7703,11212,14146,44939
175,367,7759,11380,14257,44604
176,367,8082,11320,14085,44513
177,367,7856,11316,14246,44582
178,367,7461,11054,14245,45240
179,367,9179,11201,14727,42893
180,367,8992,11337,14615,43056
181,367,9673,11214,14875,42238
182,367,9782,11493,14857,41868
183,367,10009,11717,14952,41322
184,367,9633,11535,14985,41847
185,367,9583,11422,14849,42146
186,367,9823,11332,14847,41998
187,367,9904,11349,15108,41639
188,367,9438,11488,15004,42070
189,367,9387,11379,14654,42580
190,367,10054,11820,14691,41435
191,367,11443,11468,15439,39650
192,367,11058,11642,15468,39832
193,367,13012,11191,16292,37505
194,367,13189,10948,16162,37701
195,367,12986,11208,16345,37461
196,367,11107,11341,15514,40038
197,367,11235,11483,15495,39787
198,367,11144,11355,15570,39931
199,367,9626,11306,15190,41878
200,367,9623,11355,15135,41887
201,367,11651,12107,14691,39551
202,367,10194,12357,14150,41299
203,367,10609,12703,14150,40538
204,367,10756,12988,14297,39959
205,367,10562,12700,14035,40703
206,367,10150,12743,13928,41179
207,367,9815,12683,13804,41698
208,367,9596,12444,13731,42229
209,367,9287,12494,13699,42520
210,367,8854,12273,13418,43455
211,367,8696,12259,13378,43667
212,367,7383,11051,13624,45942
213,367,8421,11852,13750,43977
214,367,8588,11802,13698,43912
215,367,8887,11806,14087,43220
216,367,10268,12508,13967,41257
217,367,10759,12530,14179,40532
218,367,10409,12167,14260,41164
219,367,12114,11932,15320,38634
220,367,10368,12413,14103,41116
221,367,10627,12714,14162,40497
222,367,11248,12447,14116,40189
223,367,10977,12462,14358,40203
224,367,10856,12424,13863,40857
225,367,12486,12817,14310,38387
226,367,11503,13116,13654,39727
227,367,12094,13231,14009,38666
228,367,11531,13386,13807,39276
229,367,12028,13224,13876,38872
230,367,12369,13312,13863,38456
231,367,13699,12830,14940,36531
232,367,13750,12747,14722,36781
233,367,14149,12800,15084,35967
234,367,14394,12888,15311,35407
235,367,14985,13164,14870,34981
236,367,15580,13115,14966,34339
237,367,17474,13995,14590,31941
238,367,19603,13774,14851,29772
239,367,17801,14338,14188,31673
240,367,17629,14243,14383,31745
241,367,16848,14269,14087,32796
242,367,17089,14494,14127,32290
243,367,19072,14104,14680,30144
244,367,19977,14738,14414,28871
245,367,19957,14665,14275,29103
246,367,21744,15119,13735,27402
247,367,23614,15347,13483,25556
248,367,21910,15393,13727,26970
249,367,21497,15461,13606,27436
250,367,21133,15639,13433,27795
251,367,22587,15036,13753,26624
252,367,23967,14756,14530,24747
253,367,26069,14089,14741,23101
254,367,24595,14328,14390,24687
255,367,24009,14796,14397,24798
256,367,25577,14160,15064,23199
257,367,27045,14237,14683,22035
258,367,29185,13911,14700,20204
259,367,30236,14075,14531,19158
260,367,28601,13535,15080,20784
261,367,27573,13158,15929,21340
262,367,28123,13367,15436,21074
263,367,28130,13411,15445,21014
264,367,25789,12943,16067,23201
265,367,25597,12981,16119,23303
266,367,25496,12912,16239,23353
267,367,24804,13289,16116,23791
268,367,22817,13350,16177,25656
269,367,20624,12559,16772,28045
270,367,20675,12607,16674,28044
271,367,20757,12833,16644,27766
272,367,20579,12652,16759,28010
273,367,21614,13201,16483,26702
274,367,22797,13351,16181,25671
275,367,22604,13355,16122,25919
276,367,22293,13108,16184,26415
277,367,22379,13078,16130,26413
278,367,20945,13668,15366,28021
279,367,20672,13984,15437,27907
280,367,20370,13849,15785,27996
281,367,20681,13731,15597,27991
282,367,18990,13569,15466,29975
283,367,18964,13640,15517,29879
284,367,17245,13571,15124,32060
285,367,17270,13347,15409,31974
286,367,17673,13203,15496,31628
287,367,17648,13234,15501,31617
288,367,16942,13236,15209,32613
289,367,16984,13471,15135,32410
290,367,16946,13339,15357,32358
291,367,18298,13657,15396,30649
292,367,16710,14174,14638,32478
293,367,18329,15065,14059,30547
294,367,18196,14999,14127,30678
295,367,18866,14879,14177,30078
296,367,19331,14691,14404,29574
297,367,18659,15028,14090,30223
298,367,17942,14745,14159,31154
299,367,18034,14632,14348,30986
300,367,18802,14248,14704,30246
301,367,20980,15297,13794,27929
302,367,20902,15436,13774,27888
303,367,20830,15488,13740,27942
304,367,18877,14754,14273,30096
305,367,18752,14793,14317,30138
306,367,20584,14943,14169,28304
307,367,20239,15145,14224,28392
308,367,19725,15094,14184,28997
309,367,20542,15634,13898,27926
310,367,20226,15490,13855,28429
311,367,18605,15000,13755,30640
312,367,18563,15187,13982,30268
313,367,17816,14943,14342,30899
314,367,19198,15402,14459,28941
315,367,19264,15279,14306,29151
316,367,19818,15147,14420,28615
317,367,19604,15113,14346,28937
318,367,20073,14892,14331,28704
319,367,17978,14189,15020,30813
320,367,19312,13739,15854,29095
321,367,20666,13516,16138,27680
322,367,20964,13389,16348,27299
323,367,21109,13313,16560,27018
324,367,21276,13240,16501,26983
325,367,19574,13521,15926,28979
326,367,19720,13624,15991,28665
327,367,18305,14094,15051,30550
328,367,18283,14098,14934,30685
329,367,18832,13952,15007,30209
330,367,19066,13807,14770,30357
331,367,18297,13740,15228,30735
332,367,18190,13771,15170,30869
333,367,18230,13711,15102,30957
334,367,19566,13959,15641,28834
335,367,18263,14226,14827,30684
336,367,16597,13527,15338,32538
337,367,16870,13648,15097,32385
338,367,16359,13503,15220,32918
339,367,16751,13557,14957,32735
340,367,16747,13576,15052,32625
341,367,18482,13524,15211,30783
342,367,20424,14632,14724,28220
343,367,20063,14744,14678,28515
344,367,20111,14640,14756,28493
345,367,18360,14456,14464,30720
346,367,16898,14515,14158,32429
347,367,17233,14438,14145,32184
348,367,16206,14762,13699,33333
349,367,16309,14648,13792,33251
350,367,16231,14772,13579,33418
351,367,15939,14776,13782,33503
352,367,16126,14780,13566,33528
353,367,17876,15346,13101,31677
354,367,17567,15737,13062,31634
355,367,17344,15537,13039,32080
356,367,15902,14852,13390,33856
357,367,16038,14986,13405,33571
358,367,15775,14886,13440,33899
359,367,16209,14970,13440,33381
360,367,16484,14969,13517,33030
361,367,16945,15087,13781,32187
362,367,17070,14740,13413,32777
363,367,16920,14897,13680,32503
364,367,16705,14781,13881,32633
365,367,16703,14580,13609,33108
366,367,17995,14825,13809,31371
367,367,16174,14679,13937,33210
368,367,17002,14324,13979,32695
369,367,17350,14557,14193,31900
370,367,18475,14645,13988,30892
371,367,18684,14674,14215,30427
372,367,18666,14455,14024,30855
373,367,19059,14741,13959,30241
374,367,19062,14803,13938,30197
375,367,17503,14765,13749,31983
376,367,17880,14719,13741,31660
377,367,17893,14926,13874,31307
378,367,19579,15026,13564,29831
379,367,19536,14967,13794,29703
380,367,19437,14975,13877,29711
381,367,19539,14870,13670,29921
382,367,19318,15086,13556,30040
383,367,19401,15113,13385,30101
384,367,19916,15236,13358,29490
385,367,19952,15105,13460,29483
386,367,19962,15111,13353,29574
387,367,19762,15258,13500,29480
388,367,19329,15303,13011,30357
389,367,19205,15527,13290,29978
390,367,20981,15815,12862,28342
391,367,19221,15385,13296,30098
392,367,19180,15295,13142,30383
393,367,19888,15275,13174,29663
394,367,19630,15323,13489,29558
395,367,19509,15398,13381,29712
396,367,19632,15393,13499,29476
397,367,19046,15631,13169,30154
398,367,19442,15332,13061,30165
399,367,19174,15845,13165,29816
400,367,20814,16080,12731,28375
401,367,20328,16282,12536,28854
402,367,20630,16113,12643,28614
403,367,20764,16187,12698,28351
404,367,20480,16095,12591,28834
405,367,18957,15944,13000,30099
406,367,17618,15493,12883,32006
407,367,17398,15566,12994,32042
408,367,17092,15534,12644,32730
409,367,16984,15606,12878,32532
410,367,18659,15874,12503,30964
411,367,19179,16105,12289,30427
412,367,19045,16257,12392,30306
413,367,19597,16329,12268,29806
414,367,19765,16295,12272,29668
415,367,20186,16418,12448,28948
416,367,18316,16187,12566,30931
417,367,18284,16182,12580,30954
418,367,18357,16249,12743,30651
419,367,18645,16316,12388,30651
420,367,18863,15921,12150,31066
421,367,18209,16206,12343,31242
422,367,18571,16562,12431,30436
423,367,18829,16251,12247,30673
424,367,18305,16271,12104,31320
425,367,18170,16456,12188,31186
426,367,18111,16315,12140,31434
427,367,18756,16063,12573,30608
428,367,17076,16996,12249,31679
429,367,16754,16402,12029,32815
430,367,16709,16621,12040,32630
431,367,18199,16966,11584,31251
432,367,17077,16575,11582,32766
433,367,17097,16730,11860,32313
434,367,17606,16611,11767,32016
435,367,17649,16997,12248,31106
436,367,19344,16304,12489,29863
437,367,19103,16488,12251,30158
438,367,18814,16607,12140,30439
439,367,16948,16314,12524,32214
440,367,16736,16134,12092,33038
441,367,16532,16127,12236,33105
442,367,16246,16385,12100,33269
443,367,14510,15582,12711,35197
444,367,14777,15573,12655,34995
445,367,14548,15518,12506,35428
446,367,14867,15649,12889,34595
447,367,15167,15533,12953,34347
448,367,15281,15366,13152,34201
449,367,15825,15342,13419,33414
450,367,16152,15055,13360,33433
451,367,16147,15485,13686,32682
452,367,16386,15434,13613,32567
453,367,16509,15352,13755,32384
454,367,16169,15191,13655,32985
455,367,14535,14885,14040,34540
456,367,14615,14704,14178,34503
457,367,14056,14649,14261,35034
458,367,14380,14611,14135,34874
459,367,14243,14662,14166,34929
460,367,12703,14174,14589,36534
461,367,12533,13898,14317,37252
462,367,12113,14214,14638,37035
463,367,12319,14063,14651,36967
464,367,12256,14020,14490,37234
465,367,12166,13915,14364,37555
466,367,13950,13619,14931,35500
467,367,14244,13531,14806,35419
468,367,14118,13916,14901,35065
469,367,14034,13812,14896,35258
470,367,13974,13661,14570,35795
471,367,13902,13717,14753,35628
472,367,14125,13980,14652,35243
473,367,12424,13958,14782,36836
474,367,12388,13964,14820,36828
475,367,12598,13729,14832,36841
476,367,12595,13943,14713,36749
477,367,14189,14155,14829,34827
478,367,16038,14596,14945,32421
479,367,16143,14329,14523,33005
480,367,16438,14474,14621,32467
481,367,16276,14244,14502,32978
482,367,14344,14952,14110,34594
483,367,16239,14940,14458,32363
484,367,17762,14760,14035,31443
485,367,17944,14626,13953,31477
