,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,11,9,10,10
3,11,10,10,9
4,12,9,10,9
5,13,9,9,9
6,13,9,9,9
7,12,9,10,9
8,11,10,10,9
9,10,11,10,9
10,10,11,9,10
11,9,12,9,10
12,9,11,10,10
13,9,11,10,10
14,9,11,10,10
15,9,11,10,10
16,9,11,10,10
17,10,11,10,9
18,10,11,10,9
19,9,12,10,9
20,9,13,10,8
21,9,14,10,7
22,9,14,10,7
23,9,14,10,7
24,9,14,9,8
25,9,13,10,8
26,9,12,11,8
27,10,11,11,8
28,10,10,11,9
29,10,10,10,10
30,11,10,10,9
31,10,11,10,9
32,10,11,10,9
33,9,12,10,9
34,9,12,10,9
35,9,12,10,9
36,8,12,10,10
37,8,12,11,9
38,8,12,10,10
39,8,13,9,10
40,8,13,10,9
41,9,13,10,8
42,8,13,11,8
43,8,14,11,7
44,8,14,11,7
45,9,13,11,7
46,9,14,10,7
47,9,15,10,6
48,9,16,10,5
49,9,17,9,5
50,8,18,9,5
51,8,17,10,5
52,8,17,10,5
53,8,17,10,5
54,8,17,10,5
55,8,16,11,5
56,8,16,10,6
57,8,16,9,7
58,8,15,10,7
59,8,14,10,8
60,7,15,10,8
61,7,16,9,8
62,7,17,9,7
63,8,16,9,7
64,9,16,8,7
65,8,16,9,7
66,8,16,8,8
67,7,17,8,8
68,7,18,7,8
69,6,19,7,8
70,5,20,7,8
71,5,20,7,8
72,5,20,7,8
73,5,20,7,8
74,5,19,7,9
75,5,18,7,10
76,5,18,7,10
77,5,17,8,10
78,4,17,8,11
79,4,18,8,10
80,4,19,7,10
81,4,19,7,10
82,4,18,8,10
83,4,18,8,10
84,4,19,8,9
85,4,19,8,9
86,4,18,8,10
87,5,17,8,10
88,5,18,8,9
89,5,18,8,9
90,5,17,8,10
91,5,16,8,11
92,4,16,8,12
93,3,16,8,13
94,3,17,7,13
95,3,17,8,12
96,3,16,8,13
97,3,15,9,13
98,3,15,9,13
99,3,16,8,13
100,3,16,8,13
101,3,17,7,13
102,3,18,7,12
103,2,18,7,13
104,2,18,6,14
105,2,18,5,15
106,2,18,5,15
107,2,19,5,14
108,2,20,5,13
109,2,20,5,13
110,1,20,5,14
111,1,21,5,13
112,1,21,5,13
113,1,20,5,14
114,1,20,6,13
115,1,20,7,12
116,1,19,8,12
117,1,19,8,12
118,1,18,8,13
119,1,17,8,14
120,2,17,8,13
121,2,18,8,12
122,2,19,7,12
123,3,19,6,12
124,3,20,6,11
125,3,19,6,12
126,3,19,6,12
127,3,19,6,12
128,3,19,6,12
129,3,19,6,12
130,3,19,6,12
131,4,19,6,11
132,4,18,6,12
133,4,17,6,13
134,4,16,6,14
135,4,16,6,14
136,5,16,5,14
137,5,16,5,14
138,5,16,5,14
139,4,17,5,14
140,4,17,5,14
141,4,18,5,13
142,4,19,5,12
143,4,19,5,12
144,4,19,5,12
145,4,19,5,12
146,5,18,5,12
147,5,19,4,12
148,5,19,4,12
149,5,19,4,12
150,6,19,4,11
151,6,19,4,11
152,6,19,4,11
153,6,19,4,11
154,6,19,4,11
155,6,19,4,11
156,6,19,5,10
157,6,19,5,10
158,6,20,5,9
159,6,20,5,9
160,6,19,5,10
161,6,19,5,10
162,6,19,5,10
163,7,19,5,9
164,8,18,5,9
165,8,17,5,10
166,8,16,6,10
167,7,16,6,11
168,7,15,7,11
169,7,14,8,11
170,7,13,8,12
171,7,13,7,13
172,7,14,6,13
173,8,14,6,12
174,8,15,5,12
175,8,16,5,11
176,8,16,5,11
177,9,16,5,10
178,9,16,5,10
179,8,16,5,11
180,8,15,5,12
181,9,15,5,11
182,9,16,5,10
183,9,17,5,9
184,8,18,5,9
185,8,17,5,10
186,8,17,5,10
187,9,16,5,10
188,9,17,4,10
189,9,18,3,10
190,9,17,3,11
191,9,17,3,11
192,8,18,3,11
193,8,17,3,12
194,8,16,3,13
195,8,17,3,12
196,7,18,3,12
197,7,17,4,12
198,6,17,4,13
199,6,16,5,13
200,6,17,5,12
201,6,16,5,13
202,6,16,5,13
203,6,16,4,14
204,6,17,4,13
205,6,16,4,14
206,7,15,4,14
207,6,16,4,14
208,6,16,4,14
209,6,15,4,15
210,6,14,4,16
211,6,14,4,16
212,5,15,4,16
213,5,15,4,16
214,6,14,4,16
215,5,15,4,16
216,5,15,4,16
217,5,14,4,17
218,4,15,4,17
219,4,15,4,17
220,4,16,4,16
221,4,15,4,17
222,4,15,4,17
223,5,15,4,16
224,6,14,4,16
225,6,14,4,16
226,6,14,4,16
227,6,13,4,17
228,5,13,4,18
229,5,13,4,18
230,4,13,4,19
231,4,14,4,18
232,4,14,4,18
233,4,14,4,18
234,3,14,4,19
235,3,14,4,19
236,3,14,4,19
237,3,14,4,19
238,3,14,4,19
239,3,15,3,19
240,3,16,3,18
241,3,15,3,19
242,3,15,3,19
243,3,15,3,19
244,3,15,3,19
245,4,15,3,18
246,4,15,3,18
247,4,15,3,18
248,4,15,3,18
249,4,14,3,19
250,4,15,3,18
251,4,15,3,18
252,4,14,4,18
253,4,14,3,19
254,5,14,3,18
255,5,14,3,18
256,5,14,3,18
257,4,14,4,18
258,5,14,4,17
259,5,13,4,18
260,5,12,4,19
261,5,12,4,19
262,6,12,4,18
263,6,12,4,18
264,6,12,4,18
265,6,13,4,17
266,6,12,4,18
267,6,13,4,17
268,6,14,4,16
269,6,14,5,15
270,6,15,5,14
271,7,15,4,14
272,7,15,4,14
273,7,14,4,15
274,8,13,4,15
275,9,13,3,15
276,9,14,3,14
277,9,14,3,14
278,9,14,3,14
279,10,13,3,14
280,10,13,3,14
281,9,13,3,15
282,9,13,3,15
283,9,14,3,14
284,9,14,3,14
285,9,14,3,14
286,9,14,4,13
287,10,14,4,12
288,11,14,3,12
289,10,14,3,13
290,11,14,2,13
291,11,13,2,14
292,10,13,2,15
293,11,13,2,14
294,11,12,2,15
295,11,12,2,15
296,12,12,2,14
297,12,11,3,14
298,11,11,4,14
299,11,11,4,14
300,12,10,4,14
301,13,10,3,14
302,13,10,3,14
303,14,9,3,14
304,15,8,3,14
305,15,8,3,14
306,15,8,3,14
307,16,8,3,13
308,17,8,3,12
309,17,8,3,12
310,17,8,3,12
311,17,8,3,12
312,17,8,3,12
313,18,7,3,12
314,18,7,2,13
315,19,7,1,13
316,19,6,1,14
317,19,6,1,14
318,19,7,1,13
319,19,8,1,12
320,18,8,1,13
321,18,9,1,12
322,18,8,1,13
