,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,10,11,9
2,10,11,11,8
3,11,10,11,8
4,11,10,11,8
5,12,9,11,8
6,12,9,11,8
7,11,9,12,8
8,11,9,12,8
9,10,10,12,8
10,10,10,11,9
11,11,9,11,9
12,11,9,11,9
13,11,9,12,8
14,12,8,12,8
15,13,7,12,8
16,12,7,12,9
17,13,7,11,9
18,14,7,10,9
19,14,7,10,9
20,13,7,10,10
21,13,7,10,10
22,13,7,9,11
23,13,8,9,10
24,13,8,8,11
25,14,7,8,11
26,13,7,9,11
27,13,7,9,11
28,14,7,9,10
29,14,8,8,10
30,13,8,8,11
31,12,8,9,11
32,12,8,10,10
33,12,7,11,10
34,12,7,10,11
35,12,7,10,11
36,12,6,10,12
37,11,6,10,13
38,10,7,10,13
39,10,6,10,14
40,10,7,10,13
41,11,6,10,13
42,11,6,11,12
43,11,6,11,12
44,12,6,10,12
45,13,6,10,11
46,13,7,10,10
47,12,8,10,10
48,13,8,9,10
49,12,8,10,10
50,12,9,10,9
51,12,9,11,8
52,13,9,10,8
53,13,10,10,7
54,12,11,10,7
55,12,11,10,7
56,12,11,10,7
57,12,10,11,7
58,12,10,11,7
59,13,10,11,6
60,13,10,11,6
61,12,10,11,7
62,13,10,10,7
63,13,10,10,7
64,13,11,10,6
65,13,11,10,6
66,13,11,10,6
67,13,11,10,6
68,13,12,9,6
69,13,12,9,6
70,13,11,10,6
71,13,11,10,6
72,14,11,10,5
73,14,11,10,5
74,14,11,10,5
75,13,11,10,6
76,13,11,10,6
77,12,11,10,7
78,13,10,10,7
79,13,10,11,6
80,14,9,11,6
81,13,10,11,6
82,13,11,10,6
83,12,12,10,6
84,12,12,10,6
85,12,13,9,6
86,12,13,9,6
87,11,14,9,6
88,11,15,8,6
89,10,15,8,7
90,10,15,9,6
91,10,15,9,6
92,10,15,10,5
93,10,15,10,5
94,10,15,11,4
95,9,15,12,4
96,10,14,12,4
97,10,15,11,4
98,10,15,11,4
99,10,16,10,4
100,11,15,10,4
101,11,14,11,4
102,11,15,10,4
103,11,15,10,4
104,11,15,10,4
105,11,14,10,5
106,11,13,11,5
107,11,14,10,5
108,11,13,10,6
109,11,13,9,7
110,11,12,10,7
111,11,12,10,7
112,11,12,10,7
113,11,11,10,8
114,12,11,10,7
115,12,11,11,6
116,13,10,11,6
117,13,9,12,6
118,14,9,11,6
119,15,9,11,5
120,15,9,11,5
121,14,10,11,5
122,13,10,12,5
123,13,9,13,5
124,13,8,13,6
125,13,8,14,5
126,13,8,14,5
127,13,8,14,5
128,13,8,14,5
129,13,8,14,5
130,12,8,15,5
131,12,8,14,6
132,11,8,15,6
133,11,8,15,6
134,11,7,15,7
135,11,7,14,8
136,10,7,14,9
137,10,6,15,9
138,10,6,15,9
139,11,6,15,8
140,10,6,15,9
141,11,6,14,9
142,11,6,14,9
143,11,6,14,9
144,11,6,13,10
145,11,5,13,11
146,10,6,13,11
147,10,6,13,11
148,10,6,13,11
149,11,5,13,11
150,10,5,14,11
151,10,5,14,11
152,11,4,14,11
153,11,4,14,11
154,10,4,15,11
155,9,4,15,12
156,9,4,15,12
157,9,4,15,12
158,9,4,14,13
159,10,4,13,13
