,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,10,11,9
2,10,11,11,8
3,11,10,11,8
4,11,10,11,8
5,12,9,11,8
6,12,9,11,8
7,11,9,12,8
8,11,9,12,8
9,10,10,12,8
10,10,10,11,9
11,11,9,11,9
12,11,9,11,9
13,11,9,12,8
14,12,8,12,8
15,13,7,12,8
16,12,7,12,9
17,13,7,11,9
18,14,7,10,9
19,14,7,10,9
20,13,7,10,10
21,13,7,10,10
22,13,7,9,11
23,13,8,9,10
24,13,8,8,11
25,14,7,8,11
26,13,7,9,11
27,13,7,9,11
28,14,7,9,10
29,14,8,8,10
30,13,8,8,11
31,12,8,9,11
32,12,8,10,10
33,12,7,11,10
34,12,7,10,11
35,12,7,10,11
36,12,6,10,12
37,11,6,10,13
38,10,7,10,13
39,10,6,10,14
40,10,7,10,13
41,11,6,10,13
42,11,6,11,12
43,11,6,11,12
44,12,6,10,12
45,13,6,10,11
46,13,7,10,10
47,12,8,10,10
48,13,8,9,10
49,12,8,10,10
50,12,9,10,9
51,12,9,11,8
52,13,9,10,8
53,13,10,10,7
54,12,11,10,7
55,12,11,10,7
56,12,11,10,7
57,12,10,11,7
58,12,10,11,7
59,13,10,11,6
60,13,10,11,6
61,12,10,11,7
62,12,10,11,7
63,12,10,11,7
64,12,11,11,6
65,12,11,11,6
66,12,11,11,6
67,12,11,11,6
68,12,12,10,6
69,12,12,10,6
70,12,11,11,6
71,12,11,11,6
72,13,11,11,5
73,13,11,11,5
74,13,11,11,5
75,12,11,11,6
76,12,11,11,6
77,11,11,11,7
78,12,10,11,7
79,12,10,12,6
80,13,9,12,6
81,12,10,12,6
82,12,11,11,6
83,11,12,11,6
84,11,12,11,6
85,11,13,10,6
86,11,13,10,6
87,10,14,10,6
88,10,15,9,6
89,10,15,8,7
90,10,15,9,6
91,10,15,9,6
92,10,15,10,5
93,10,15,10,5
94,10,15,11,4
95,9,15,12,4
96,10,14,12,4
97,10,15,11,4
98,10,15,11,4
99,10,16,10,4
100,11,15,10,4
101,11,14,11,4
102,11,15,10,4
103,11,15,10,4
104,11,15,10,4
105,11,14,10,5
106,11,13,11,5
107,11,14,10,5
108,11,13,10,6
109,11,13,9,7
110,11,12,10,7
111,11,12,10,7
112,11,12,10,7
113,11,11,10,8
114,12,11,10,7
115,12,11,11,6
116,13,10,11,6
117,13,9,12,6
118,14,9,11,6
119,15,9,11,5
120,15,9,11,5
121,14,10,11,5
122,14,10,11,5
123,14,9,12,5
124,14,8,12,6
125,14,8,13,5
126,14,8,13,5
127,14,8,13,5
128,14,8,13,5
129,14,8,13,5
130,13,8,14,5
131,13,8,13,6
132,12,8,14,6
133,12,8,14,6
134,12,7,14,7
135,12,7,13,8
136,11,7,13,9
137,11,6,14,9
138,11,6,14,9
139,12,6,14,8
140,11,6,14,9
141,12,6,13,9
142,12,6,13,9
143,12,6,13,9
144,12,6,12,10
145,12,5,12,11
146,11,6,12,11
147,11,6,12,11
148,11,6,12,11
149,12,5,12,11
150,11,5,13,11
151,11,5,13,11
152,12,4,13,11
153,12,4,13,11
154,11,4,14,11
155,10,4,14,12
156,10,4,14,12
157,10,4,14,12
158,10,4,13,13
159,11,4,12,13
