,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,10,11,9
2,10,11,11,8
3,11,10,11,8
4,11,10,11,8
5,12,9,11,8
6,12,9,11,8
7,11,9,12,8
8,11,9,12,8
9,10,10,12,8
10,10,10,11,9
11,11,9,11,9
12,11,9,11,9
13,11,9,12,8
14,12,8,12,8
15,13,7,12,8
16,13,7,12,8
17,14,7,11,8
18,15,7,10,8
19,15,7,10,8
20,14,7,10,9
21,14,7,10,9
22,14,7,9,10
23,14,8,9,9
24,14,8,8,10
25,15,7,8,10
26,14,7,9,10
27,14,7,9,10
28,15,7,9,9
29,15,8,8,9
30,14,8,8,10
31,13,8,9,10
32,13,8,10,9
33,13,7,11,9
34,13,7,11,9
35,13,7,11,9
36,13,6,11,10
37,12,6,11,11
38,11,7,11,11
39,11,6,11,12
40,11,7,11,11
41,12,6,11,11
42,12,6,12,10
43,12,6,12,10
44,13,6,11,10
45,14,6,10,10
46,14,7,10,9
47,13,8,10,9
48,14,8,9,9
49,13,8,10,9
50,13,9,10,8
51,12,9,11,8
52,13,9,10,8
53,13,10,10,7
54,12,11,10,7
55,12,11,10,7
56,12,11,10,7
57,12,10,11,7
58,12,10,11,7
59,13,10,11,6
60,13,10,11,6
61,12,10,11,7
62,12,10,11,7
63,12,10,11,7
64,12,11,11,6
65,12,11,11,6
66,12,11,11,6
67,12,11,11,6
68,12,12,10,6
69,12,12,10,6
70,12,11,11,6
71,12,11,11,6
72,13,11,11,5
73,13,11,11,5
74,13,11,11,5
75,12,11,11,6
76,12,11,11,6
77,11,11,11,7
78,12,10,11,7
79,12,10,12,6
80,13,9,12,6
81,12,10,12,6
82,12,11,11,6
83,11,12,11,6
84,11,12,11,6
85,11,13,10,6
86,11,13,10,6
87,10,14,10,6
88,10,15,9,6
89,10,15,8,7
90,10,15,9,6
91,10,15,9,6
92,10,15,10,5
93,10,15,10,5
94,10,15,11,4
95,9,15,12,4
96,10,14,12,4
97,10,15,11,4
98,10,15,11,4
99,10,16,10,4
100,11,15,10,4
101,11,14,11,4
102,11,15,10,4
103,11,15,10,4
104,11,15,10,4
105,11,14,10,5
106,11,13,11,5
107,11,14,10,5
108,11,13,10,6
109,11,13,9,7
110,11,12,10,7
111,11,12,10,7
112,11,12,10,7
113,11,11,10,8
114,12,11,10,7
115,12,11,11,6
116,13,10,11,6
117,13,9,12,6
118,14,9,11,6
119,15,9,11,5
120,15,9,11,5
121,14,10,11,5
122,13,10,12,5
123,13,9,13,5
124,13,8,13,6
125,13,8,14,5
126,13,8,14,5
127,13,8,14,5
128,13,8,14,5
129,13,8,14,5
130,12,8,15,5
131,12,8,14,6
132,11,8,15,6
133,11,8,15,6
134,11,7,15,7
135,11,7,14,8
136,10,7,14,9
137,10,6,15,9
138,10,6,15,9
139,11,6,15,8
140,10,6,15,9
141,11,6,14,9
142,11,6,14,9
143,11,6,14,9
144,11,6,13,10
145,11,5,13,11
146,10,6,13,11
147,10,6,13,11
148,10,6,13,11
149,11,5,13,11
150,10,5,14,11
151,10,5,14,11
152,11,4,14,11
153,11,4,14,11
154,10,4,15,11
155,9,4,15,12
156,9,4,15,12
157,9,4,15,12
158,9,4,14,13
159,10,4,13,13
